,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
64,Jared Mangan,Clarkson,F,36,6,5,11,4,2,0,0,69,134,74,0,83,10,29
65,Tate Taylor,Clarkson,D,31,3,13,16,0,0,0,0,51,0,0,5,75,8,26
66,Luke Pakulak,Clarkson,F,28,2,5,7,0,0,0,0,14,166,71,-3,68,10,8
67,Ty Brassington,Clarkson,D,36,2,5,7,0,0,0,1,45,0,0,5,84,2,13
68,Jack Sparks,Clarkson,D,36,1,4,5,0,1,0,0,26,0,0,1,85,50,41
69,Ethan Langenegger,Clarkson,G,34,0,1,1,0,0,0,0,1,0,0,0,81,0,0
70,Oliver Moberg,Clarkson,F,13,0,0,0,0,0,0,0,8,100,41,0,27,6,4
71,Ray Fust,Clarkson,F,17,2,2,4,0,0,0,0,17,1,0,-3,47,2,8
72,George Grannis,Clarkson,F,2,0,0,0,0,0,0,0,1,0,0,1,5,0,0
73,Caden Lewandowski,Clarkson,D,2,0,0,0,0,0,0,0,0,0,0,-1,6,0,1
74,Brady Egan,Clarkson,F,9,0,2,2,0,0,0,0,6,3,0,2,17,4,6
75,Brady Parker,Clarkson,G,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
76,Reid Irwin,Colgate,D,32,6,11,17,2,0,0,0,54,0,0,0,98,8,46
77,Tommy Bergsland,Colgate,D,36,4,19,23,1,1,1,1,51,0,0,9,116,10,37
78,Nic Belpedio,Colgate,D,29,3,6,9,0,0,0,0,27,0,0,-10,97,6,27
79,Ben Raymond,Colgate,F,36,9,9,18,0,2,2,0,60,8,3,-2,116,21,17
80,Alex DiPaolo,Colgate,F,32,11,15,26,5,1,0,1,73,215,123,-9,104,12,32
81,Brett Chorske,Colgate,F,36,15,19,34,2,2,0,0,85,593,318,-4,116,23,19
82,Andrew Takacs,Colgate,G,32,0,1,1,0,0,0,0,1,0,0,0,101,6,0
83,Owen Neuharth,Colgate,F,29,3,6,9,0,1,0,1,18,99,35,3,88,8,11
