,PLAYER,Team,Pos,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ON NET,TOTAL FACEOFF,FACEOFF WINS,PLSMNS,Opponent Score,PEN MIN,BLOCKS
280,Billy Norcross,Northeastern,F,21,0,1,1,0,0,0,0,12,7,3,-1,63,2,5
281,Kyle Furey,Northeastern,D,2,0,0,0,0,0,0,0,0,0,0,-1,9,0,0
282,Quentin Sigurdson,Northeastern,G,6,0,1,1,0,0,0,0,0,0,0,-2,22,0,0
283,Nolan Hayes,Northeastern,D,5,0,0,0,0,0,0,0,1,0,0,0,21,2,1
284,Ethan Fredericks,Northeastern,F,5,0,0,0,0,0,0,0,2,0,0,0,15,0,2
285,David Ma,Princeton,D,30,6,7,13,2,0,0,0,39,0,0,0,86,33,35
286,Noah de la Durantaye,Princeton,D,29,4,6,10,2,2,0,0,56,0,0,-12,82,8,52
287,Alex Konovalov,Princeton,F,27,3,8,11,0,1,0,0,27,14,5,2,79,6,10
288,Ethan Pearson,Princeton,G,17,0,0,0,0,0,0,0,0,0,0,0,43,0,0
289,Tyler Rubin,Princeton,D,17,2,3,5,0,0,0,0,26,0,0,0,51,12,14
290,Jayden Sison,Princeton,F,24,2,4,6,0,0,0,0,24,1,0,-5,69,10,4
291,Brendan Gorman,Princeton,F,30,12,14,26,2,3,2,1,64,626,285,-7,86,12,20
292,Kevin Anderson,Princeton,F,28,5,4,9,2,0,0,0,52,14,6,-5,81,27,14
293,David Jacobs,Princeton,F,24,3,11,14,0,0,0,0,41,19,5,-3,63,0,12
294,Nick Marciano,Princeton,D,30,4,10,14,2,1,0,0,51,0,0,-5,86,4,34
295,Jaxson Ezman,Princeton,F,30,7,8,15,1,2,0,0,53,60,28,-2,86,28,23
296,Brendan Wang,Princeton,D,24,1,1,2,1,0,0,0,18,0,0,0,73,2,10
297,Ian Devlin,Princeton,D,30,1,3,4,0,0,0,0,23,1,1,3,86,12,16
298,Carson Buydens,Princeton,F,29,1,3,4,0,0,0,0,32,308,150,-5,83,24,22
299,Joshua Karnish,Princeton,F,29,1,2,3,0,0,0,0,32,7,1,-4,82,19,12
300,Jake Manfre,Princeton,F,30,8,9,17,3,2,0,0,54,2,2,-1,86,12,17
301,Drew Garzone,Princeton,F,25,1,3,4,0,0,0,0,31,308,171,3,66,6,10
302,Miles Gunty,Princeton,F,29,3,7,10,0,0,0,0,35,7,3,-4,82,4,22
303,Luc Pelletier,Princeton,F,29,3,5,8,1,0,0,0,29,309,155,-7,83,35,8
304,Michael Young,Princeton,F,11,0,2,2,0,0,0,0,8,0,0,-1,34,0,1
305,Arthur Smith,Princeton,G,13,0,0,0,0,0,0,0,0,0,0,0,43,0,0
306,Kai Greaves,Princeton,D,29,2,1,3,0,0,0,0,26,0,0,-10,82,2,30
307,Julian Facchinelli,Princeton,F,2,0,0,0,0,0,0,0,2,2,2,0,3,0,0
308,Pat Reilly,Princeton,D,9,0,0,0,0,0,0,0,2,0,0,-1,27,2,3
309,Nick Poisson,Providence,F,36,8,8,16,0,2,1,1,69,30,12,3,96,16,15
310,Chase Yoder,Providence,F,36,5,5,10,1,0,0,2,92,617,366,5,96,18,20
311,Connor Kelley,Providence,D,36,1,3,4,0,0,0,0,41,0,0,4,96,24,14
312,Ryan O'Reilly,Providence,F,25,6,3,9,0,0,0,0,40,7,3,10,65,6,4
313,Cam Gendron,Providence,F,7,0,0,0,0,0,0,0,3,57,26,0,15,0,1
314,Logan Will,Providence,F,36,8,15,23,3,3,0,0,73,553,302,10,96,4,14
315,Guillaume Richard,Providence,D,36,2,12,14,0,0,1,0,61,0,0,7,96,14,30
316,Taige Harding,Providence,D,36,2,12,14,0,1,0,1,32,0,0,9,96,46,20
317,Austen May,Providence,D,33,0,13,13,0,0,0,0,61,0,0,7,92,6,38
318,Philip SvedebÃ¤ck,Providence,G,25,0,2,2,0,0,0,0,0,0,0,0,70,0,0
319,Hudson Malinoski,Providence,F,34,11,12,23,4,2,0,0,67,357,192,-7,89,14,30
320,Graham Gamache,Providence,F,36,10,10,20,0,1,2,0,72,217,119,4,96,8,14
321,Tanner Adams,Providence,F,36,11,11,22,2,3,0,2,79,14,8,0,96,8,21
322,Andrew Centrella,Providence,D,33,2,12,14,0,0,0,0,27,0,0,-6,89,8,25
323,Tomas Machu,Providence,D,29,2,4,6,0,2,0,0,23,0,0,2,74,25,18
324,Alexander Bales,Providence,D,31,2,3,5,0,1,0,0,34,0,0,2,85,10,21
325,Will Elger,Providence,F,35,8,10,18,2,1,0,0,62,11,3,5,91,4,26
326,Trevor Connelly,Providence,F,22,4,9,13,1,1,0,0,63,6,2,-13,69,29,47
327,Logan Sawyer,Providence,F,36,6,10,16,2,2,0,0,106,8,5,7,96,10,21
328,John Mustard,Providence,F,36,7,13,20,2,1,0,0,108,9,5,1,96,14,40
329,Aleksi Kivioja,Providence,F,27,3,5,8,0,0,0,2,31,140,76,8,74,10,7
330,Braiden Clark,Providence,F,16,1,2,3,0,0,0,0,18,122,65,4,34,2,5
331,Zachary Borgiel,Providence,G,12,0,0,0,0,0,0,0,0,0,0,0,31,0,0
332,Carl Fish,Providence,D,9,0,0,0,0,0,0,0,5,0,0,-3,20,0,4
333,Clint Levens,Providence,F,22,3,3,6,0,1,0,0,25,4,0,2,64,18,3
334,Jack Agnew,Rensselaer,D,20,1,2,3,0,0,0,0,15,0,0,-5,76,4,11
335,Elliott McDermott,Rensselaer,D,35,3,15,18,1,0,0,0,64,0,0,0,131,4,37
336,Jakob Lee,Rensselaer,F,35,13,7,20,1,2,0,2,62,645,351,6,131,26,18
337,Dovar Tinling,Rensselaer,F,32,10,10,20,2,1,0,2,53,475,257,-1,122,18,19
338,John Beaton,Rensselaer,F,34,6,13,19,3,2,0,1,58,127,75,-10,130,0,20
339,Jack Brackett,Rensselaer,F,35,6,11,17,0,2,1,0,56,10,3,4,131,10,20
340,Jake Gagnon,Rensselaer,F,33,8,7,15,1,1,0,0,68,3,0,-6,124,12,30
341,Arvils Bergmanis,Rensselaer,D,35,4,4,8,2,0,0,0,52,0,0,-10,131,22,39
342,Noah Giesbrecht,Rensselaer,G,30,0,1,1,0,0,0,0,0,0,0,0,110,0,0
343,William Gilson,Rensselaer,D,35,8,16,24,1,1,0,0,95,0,0,6,131,26,50
344,Max Smolinski,Rensselaer,D,35,5,10,15,1,0,0,0,74,0,0,-3,131,6,63
345,Nathan Sullivan,Rensselaer,F,20,2,2,4,0,0,0,0,8,1,1,1,77,0,7
346,Tyler Hotson,Rensselaer,F,35,6,16,22,1,0,0,0,60,12,5,3,131,47,36
347,Brad McNeil,Rensselaer,F,35,2,3,5,0,0,0,1,31,295,131,-4,131,2,2
348,Jeremie Payant,Rensselaer,F,32,3,3,6,0,0,0,0,40,67,31,-7,115,6,11
349,Jimmy Goffredo,Rensselaer,D,35,2,3,5,0,0,0,0,40,0,0,-9,131,20,27
350,Gustavs Ozolins,Rensselaer,D,31,1,2,3,0,0,0,0,27,0,0,-4,115,2,28
351,Rainers Rullers,Rensselaer,F,34,5,8,13,0,0,0,0,37,487,232,-8,127,25,19
352,Felix Caron,Rensselaer,F,35,6,15,21,3,1,0,1,53,6,4,-10,131,62,33
353,Jagger Tapper,Rensselaer,F,29,8,12,20,3,2,0,3,35,64,33,9,105,8,14
354,Lucas Matta,Rensselaer,D,17,0,0,0,0,0,0,0,19,1,1,-4,63,8,6
355,Jack Watson,Rensselaer,G,8,0,1,1,0,0,0,0,0,0,0,0,39,0,0
356,Nick Strom,Rensselaer,D,6,0,1,1,0,0,0,0,8,0,0,0,23,2,3
357,Brody Maguire,Rensselaer,D,13,0,1,1,0,0,0,0,6,0,0,-3,47,8,8
358,Sutter Muzzatti,Rensselaer,F,10,2,1,3,0,0,0,0,14,37,19,-7,39,8,7
359,Carson Dorfman,Rensselaer,G,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
360,Greg Lapointe,St. Lawrence,F,34,11,8,19,2,2,0,0,99,5,2,-15,117,18,34
361,Tomas Mazura,St. Lawrence,F,17,1,13,14,0,1,0,0,32,266,125,-7,42,4,16
362,Mason Waite,St. Lawrence,D,35,4,12,16,2,1,1,0,69,0,0,-14,121,6,45
363,Philippe Chapleau,St. Lawrence,D,35,3,8,11,1,1,0,0,29,1,0,-17,121,12,30
364,Drake Burgin,St. Lawrence,D,35,2,5,7,1,0,0,0,39,0,0,-22,121,14,36
365,Ty Naaykens,St. Lawrence,F,27,5,5,10,2,0,1,0,43,71,32,-9,103,19,18
366,Will Arquiett,St. Lawrence,F,27,4,2,6,0,0,0,0,21,34,25,-5,97,10,12
367,Oak MacLeod,St. Lawrence,F,4,0,0,0,0,0,0,0,4,0,0,0,10,0,1
368,Reilly Connors,St. Lawrence,F,35,2,7,9,0,1,0,0,51,553,274,-14,121,24,7
369,Felikss Gavars,St. Lawrence,F,34,6,9,15,2,0,0,0,82,30,12,-18,118,25,39
370,Isack Bandu,St. Lawrence,D,31,2,5,7,1,1,0,0,28,0,0,-12,103,27,11
371,Jan Olenginski,St. Lawrence,D,29,2,4,6,0,0,0,0,31,1,1,-3,101,10,9
372,Mason Kucenski,St. Lawrence,G,28,0,2,2,0,0,0,0,0,0,0,0,98,0,0
373,Evan Orloff,St. Lawrence,D,19,0,2,2,0,0,0,0,11,0,0,-1,56,10,13
374,Sam Hall,St. Lawrence,D,22,0,2,2,0,0,0,0,15,0,0,-9,72,8,9
375,Gabe Westling,St. Lawrence,F,29,1,8,9,0,0,0,0,28,249,107,-13,97,6,16
376,Jacob Bernadet,St. Lawrence,F,27,1,1,2,1,0,0,0,30,3,1,-15,96,2,9
377,Spencer Bell,St. Lawrence,F,32,3,1,4,1,0,0,0,39,9,5,-5,110,20,13
378,Isaac Tremblay,St. Lawrence,F,33,4,8,12,0,0,0,0,52,439,185,-20,116,25,14
379,Nicholas Beneteau,St. Lawrence,F,32,2,4,6,0,1,0,0,42,310,153,-16,108,6,13
380,Jake Lammens,St. Lawrence,D,23,0,0,0,0,0,0,0,21,0,0,-17,84,2,12
381,Gunnar Thoreson,St. Lawrence,F,33,5,3,8,0,1,0,0,40,32,9,-11,117,8,15
382,Dominic Basse,St. Lawrence,G,10,0,0,0,0,0,0,0,0,0,0,0,45,0,0
383,Tyler Cristall,St. Lawrence,F,29,8,9,17,3,0,0,0,74,8,1,-8,107,12,39
384,Evan Mitchell,St. Lawrence,D,5,0,0,0,0,0,0,0,1,0,0,-3,24,0,1
385,Cayden Casey,St. Lawrence,F,13,1,3,4,0,0,0,0,23,125,43,6,55,17,7
386,Jan Lasak,St. Lawrence,F,16,4,2,6,0,0,0,0,23,8,4,-7,55,4,14
387,Connor Sullivan,Yale,D,30,2,9,11,1,0,0,0,40,0,0,-12,121,24,30
388,Dylan Herzog,Yale,D,30,2,9,11,1,1,0,0,31,0,0,-19,121,33,28
389,William Dineen,Yale,F,30,6,12,18,2,0,0,0,59,594,289,-1,121,24,11
390,Briggs Gammill,Yale,F,30,3,4,7,1,0,0,0,63,22,9,-9,121,18,33
391,Kieran O'Hearn,Yale,D,29,1,6,7,0,0,0,0,33,0,0,-5,115,32,19
392,Kalen Szeto,Yale,F,27,4,1,5,1,0,1,0,38,10,1,-14,114,4,6
393,Elan Bar-Lev-Wise,Yale,F,24,1,1,2,0,0,1,0,12,238,89,-15,102,8,2
394,Bayard Hall,Yale,D,27,0,4,4,0,0,0,0,31,0,0,-8,111,12,21
395,Jack Stark,Yale,G,20,0,0,0,0,0,0,0,0,0,0,1,79,0,0
396,David Andreychuk,Yale,F,26,1,3,4,0,0,0,0,18,41,14,-19,110,22,8
397,Will Richter,Yale,F,30,5,6,11,0,0,1,0,41,22,11,-2,121,14,17
398,Iisai Pesonen,Yale,F,25,1,2,3,0,0,0,0,19,10,4,-5,100,10,20
399,Seiya Tanaka-Campbell,Yale,F,20,0,0,0,0,0,0,0,3,15,7,-7,80,4,2
400,Owen Forester,Yale,D,2,0,0,0,0,0,0,0,2,0,0,-3,11,0,0
401,Rhys Bentham,Yale,D,8,1,3,4,0,0,1,0,11,0,0,-1,27,2,7
402,Ronan O'Donnell,Yale,F,29,11,9,20,2,3,0,0,68,13,7,-10,116,31,12
403,Micah Berger,Yale,D,21,5,10,15,3,0,0,0,31,17,11,-9,92,6,18
404,Zach Wagnon,Yale,F,30,3,11,14,0,1,0,0,45,344,174,-6,121,18,18
405,Donovan Frias,Yale,F,30,7,5,12,3,0,0,0,65,463,188,-11,121,20,11
406,Julian Frias,Yale,F,30,2,4,6,1,0,0,0,41,9,3,-12,121,12,7
407,JoJo Tanaka-Campbell,Yale,F,10,0,0,0,0,0,0,0,2,13,5,-6,39,2,2
408,Tucker Hartmann,Yale,D,16,1,0,1,0,0,0,0,14,2,0,1,57,2,7
409,David Chen,Yale,F,18,10,7,17,2,0,0,1,48,7,2,-4,75,23,12
410,Hughie Hooker,Yale,D,26,1,5,6,0,1,0,0,30,1,0,-23,104,10,16
411,Joe Blackley,Yale,D,9,0,1,1,0,0,0,0,4,2,1,-2,34,0,1
412,Luke Pearson,Yale,G,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0
413,Noah Pak,Yale,G,8,0,0,0,0,0,0,0,0,0,0,0,37,0,0
414,Linden Alger,Massachusetts,D,38,3,6,9,0,0,0,0,49,0,0,5,97,10,17
415,Joey Musa,Massachusetts,F,31,1,1,2,0,0,0,0,24,61,26,-7,85,6,10
416,Lucas Mercuri,Massachusetts,F,38,10,21,31,2,0,0,0,81,713,383,14,97,22,18
417,Ryan Lautenbach,Massachusetts,F,38,6,14,20,0,2,0,1,71,21,13,5,97,19,16
418,Michael Cameron,Massachusetts,F,21,3,4,7,1,0,0,1,29,29,7,-2,50,4,9
419,Owen Murray,Massachusetts,D,38,5,8,13,0,0,0,1,73,0,0,5,97,16,26
420,Kenny Connors,Massachusetts,F,38,10,18,28,2,4,0,3,101,613,313,4,97,6,50
421,Cole O'Hara,Massachusetts,F,38,22,29,51,7,4,1,1,116,13,7,21,97,14,37
422,Kennedy O'Connor,Massachusetts,D,31,0,6,6,0,0,0,0,16,0,0,7,70,8,14
423,Lucas Olvestad,Massachusetts,D,36,4,15,19,1,0,0,0,61,0,0,8,93,22,48
424,Cam O'Neill,Massachusetts,F,24,2,1,3,0,0,0,0,32,4,1,1,66,6,3
425,Jack Musa,Massachusetts,F,38,18,17,35,3,3,0,0,99,84,55,18,97,4,27
426,Dans Locmelis,Massachusetts,F,38,7,23,30,3,1,0,0,79,693,371,16,97,8,22
427,Aydar Suniev,Massachusetts,F,33,18,18,36,5,3,0,1,121,3,0,12,83,24,44
428,Nick VanTassell,Massachusetts,F,33,2,2,4,0,0,0,0,23,7,3,-10,86,11,5
429,Bo Cosman,Massachusetts,F,28,0,3,3,0,0,0,0,22,15,11,4,69,8,5
430,Michael Hrabal,Massachusetts,G,34,0,0,0,0,0,0,0,0,0,0,0,89,0,0
431,Finn Loftus,Massachusetts,D,29,0,1,1,0,0,0,0,13,0,0,3,76,4,5
432,Larry Keenan,Massachusetts,D,38,3,7,10,0,0,0,0,75,0,0,16,97,16,43
433,Francesco Dell'Elce,Massachusetts,D,38,6,16,22,1,2,0,0,80,0,0,18,97,12,64
434,Cam Dunn,Massachusetts,F,6,0,0,0,0,0,0,0,4,1,1,0,13,0,0
435,James Duerr,Massachusetts,F,31,2,3,5,0,0,0,0,20,147,50,1,72,6,3
436,Kaz Sobieski,Massachusetts,D,5,0,0,0,0,0,0,0,1,0,0,1,14,2,2
437,Daniel JenÄko,Massachusetts,F,26,5,9,14,2,1,0,0,52,3,0,9,67,10,14
438,Jackson Irving,Massachusetts,G,6,0,1,1,0,0,0,0,0,0,0,0,16,0,0
439,Pierson Brandon,UMass Lowell,D,34,6,2,8,0,2,1,1,54,2,1,-1,95,16,21
440,Jack Robilotti,UMass Lowell,D,35,2,4,6,0,1,0,0,23,0,0,6,101,32,16
441,Ben Meehan,UMass Lowell,D,36,3,14,17,0,1,0,0,57,2,1,-4,101,29,42
442,Henry Welsch,UMass Lowell,G,20,0,1,1,0,0,0,0,0,0,0,0,57,0,0
443,Isac Jonsson,UMass Lowell,D,35,2,10,12,2,0,0,0,69,1,1,-2,100,4,46
444,Matt Crasa,UMass Lowell,F,29,5,9,14,1,1,0,0,52,12,4,1,81,12,24
445,Owen Cole,UMass Lowell,F,36,8,12,20,3,1,0,0,73,537,261,1,101,6,13
446,Ian Carpentier,UMass Lowell,F,27,2,7,9,0,0,0,1,45,65,24,4,76,8,21
447,Scout Truman,UMass Lowell,F,36,10,8,18,2,3,0,1,90,9,1,-3,101,52,49
448,TJ Schweighardt,UMass Lowell,D,36,0,10,10,0,0,0,0,40,0,0,1,101,6,29
449,Connor Eddy,UMass Lowell,F,36,5,5,10,0,1,0,0,63,17,10,7,101,32,13
450,Dillan Bentley,UMass Lowell,F,34,9,7,16,1,1,0,0,66,414,208,-5,99,16,20
451,Jak Vaarwerk,UMass Lowell,F,36,5,11,16,1,1,0,1,57,601,296,-1,101,12,19
452,Nick Anderson,UMass Lowell,D,35,2,12,14,0,0,0,0,26,1,0,-1,97,14,24
453,Chris Delaney,UMass Lowell,F,35,9,9,18,2,0,0,0,59,6,3,-12,100,16,22
454,Mirko Buttazoni,UMass Lowell,F,32,5,14,19,1,0,0,0,72,35,17,-3,93,16,20
455,Libor Nemec,UMass Lowell,F,26,6,6,12,3,2,0,0,49,131,56,-9,72,14,15
456,Lee Parks,UMass Lowell,F,34,8,6,14,4,1,0,0,54,5,2,6,92,10,13
457,Jacob MacDonald,UMass Lowell,F,14,2,2,4,0,0,0,0,12,31,14,-2,31,4,3
458,Beni Halasz,UMass Lowell,G,18,0,0,0,0,0,0,0,0,0,0,0,53,0,0
459,Jack Collins,UMass Lowell,F,16,0,1,1,0,0,0,0,13,127,70,2,40,0,0
460,Girts Silkalns,UMass Lowell,F,10,1,2,3,0,0,0,0,8,0,0,0,30,2,4
461,Daniel Buchbinder,UMass Lowell,D,14,0,1,1,0,0,0,0,4,1,0,-1,36,4,4
462,Stefan Owens,UMass Lowell,F,26,2,0,2,0,1,0,0,29,177,74,-4,78,0,9
463,Mitchell Becker,UMass Lowell,D,16,1,2,3,0,0,0,0,10,0,0,-5,51,8,10
464,Sean Kilcullen,UMass Lowell,D,8,0,0,0,0,0,0,0,2,1,0,-1,23,0,1
465,Jaiden Moriello,UMass Lowell,F,2,0,0,0,0,0,0,0,1,0,0,-1,7,0,1
466,Dominick Rivelli,UMass Lowell,F,3,0,0,0,0,0,0,0,1,0,0,0,9,2,0
467,Ryan St. Louis,Brown,F,23,11,18,29,0,6,0,1,48,5,3,0,66,2,19
468,Brett Bliss,Brown,D,31,1,4,5,0,1,0,0,51,0,0,3,81,10,33
469,Wyatt Schlaht,Brown,F,11,0,0,0,0,0,0,0,4,2,1,-2,25,2,3
470,Brendan Clark,Brown,F,31,6,6,12,0,1,0,0,47,35,18,2,80,30,14
471,Tony Andreozzi,Brown,D,32,1,6,7,0,0,0,0,37,0,0,-3,85,6,12
472,Thomas Manty,Brown,F,7,0,1,1,0,0,0,0,4,0,0,0,17,0,2
473,Lynden Grandberg,Brown,F,19,1,0,1,0,0,0,0,12,45,22,3,49,4,3
474,Noah Wakeford,Brown,F,2,0,0,0,0,0,0,0,0,2,1,0,5,0,1
475,Spence Evans,Brown,D,13,0,0,0,0,0,0,0,3,0,0,0,33,2,4
476,Nick Traggio,Brown,D,26,1,3,4,0,0,0,0,36,0,0,3,72,10,24
477,Ryan Shostak,Brown,F,32,3,3,6,0,0,0,1,26,368,159,-2,85,14,12
478,Dean Bauchiero,Brown,F,17,3,0,3,0,1,0,1,11,2,1,0,54,19,6
479,Tyler Shea,Brown,G,6,0,0,0,0,0,0,0,0,0,0,0,19,0,0
480,Lawton Zacher,Brown,G,28,0,0,0,0,0,0,0,0,0,0,0,75,0,0
481,Alex Pineau,Brown,D,32,7,9,16,2,0,0,0,54,0,0,-3,85,14,43
482,Tyler Kopff,Brown,F,32,9,19,28,6,1,1,0,114,194,94,1,85,12,51
483,Mike Cataldo,Brown,F,28,1,2,3,0,0,0,0,19,193,114,1,76,4,4
484,Ethan Mistry,Brown,D,32,2,10,12,0,0,0,0,45,0,0,4,85,6,30
485,Max Scott,Brown,F,32,12,14,26,3,1,0,2,82,861,463,-6,85,21,29
486,Charlie Gollob,Brown,F,27,4,5,9,0,1,0,0,34,21,10,-2,70,29,12
487,Ivan Zadvernyuk,Brown,F,32,3,7,10,0,0,0,0,56,17,7,-1,85,33,26
488,Tanner Hartman,Brown,F,23,1,2,3,0,0,0,0,16,1,0,2,63,6,3
489,Jack Hewitt,Brown,D,11,0,1,1,0,0,0,0,8,0,0,-2,30,2,5
490,Zackary Tonelli,Brown,F,25,2,0,2,0,0,2,0,25,5,1,-1,60,6,6
491,Tristan Zarsky,Brown,D,20,0,0,0,0,0,0,0,12,0,0,-1,49,6,11
492,Andrew King,Brown,F,14,0,1,1,0,0,0,0,8,0,0,1,38,0,5
493,Brian Nicholas,Brown,F,28,11,14,25,4,2,0,0,70,203,85,-4,72,10,32
494,Leo Schwartz,Brown,D,20,0,2,2,0,0,0,0,10,0,0,2,53,6,7
495,Matthew Brille,Brown,F,4,0,0,0,0,0,0,0,2,1,1,1,13,2,0
496,Danny Weight,AIC,F,34,5,7,12,1,0,0,0,49,34,15,-8,107,37,14
497,Jordan Biro,AIC,F,36,3,9,12,1,0,0,0,56,0,0,-7,112,6,15
498,Lauri Sertti,AIC,D,37,1,6,7,1,0,0,0,34,0,0,1,114,6,24
499,Evan Stella,AIC,D,35,1,6,7,0,0,0,0,56,1,0,-19,107,16,21
500,Oscar Geschwind,AIC,F,36,5,7,12,0,1,0,1,55,39,15,-3,114,4,16
501,Brett Bamber,AIC,D,35,6,12,18,0,0,0,0,90,2,1,-19,105,14,39
502,David Posma,AIC,D,35,2,7,9,0,0,0,0,35,0,0,-1,108,51,17
503,Blake Dangos,AIC,D,33,1,2,3,0,0,0,0,22,2,0,-7,103,18,18
504,Josh Barnes,AIC,F,38,14,10,24,3,1,0,0,85,477,229,-14,117,6,36
505,Brett Rylance,AIC,F,35,3,10,13,1,0,0,0,79,526,262,-1,101,12,24
506,John Lundy,AIC,F,37,10,10,20,6,0,0,0,84,97,62,-12,115,10,30
507,Noah Serdachny,AIC,F,37,4,12,16,0,2,0,0,71,153,72,-10,114,10,27
508,Chase Clark,AIC,G,25,0,1,1,0,0,0,0,0,0,0,0,75,5,0
509,Alfred LindbergÂ ,AIC,F,33,7,4,11,1,2,0,0,77,446,232,-17,104,4,27
510,Dario Beljo,AIC,F,30,11,9,20,4,3,0,0,32,185,73,-2,97,10,16
511,Hunter Longhi,AIC,F,13,2,2,4,1,0,0,0,18,0,0,-1,38,4,4
512,Tyler ProciousÂ ,AIC,D,31,1,5,6,1,0,0,0,41,0,0,-8,99,8,26
513,Tobias LarsenÂ ,AIC,D,17,0,2,2,0,0,0,0,14,0,0,-1,62,10,9
514,Justin MexicoÂ ,AIC,F,32,3,12,15,0,1,0,0,58,302,131,-3,98,12,21
515,Wilhelm ForsbergÂ ,AIC,F,20,1,5,6,1,0,0,0,16,0,0,0,57,6,9
516,Joey LoVullo,AIC,G,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0
517,Timofei Khokhlachev,AIC,F,31,8,10,18,1,2,0,1,47,9,4,5,90,50,12
518,Alexander Malinowski,AIC,F,25,0,8,8,0,0,0,0,45,2,1,-8,70,6,12
519,Casey McDonald,AIC,F,27,3,4,7,0,1,0,0,39,30,10,-2,81,25,11
520,Peyton GrainerÂ ,AIC,G,12,0,0,0,0,0,0,0,0,0,0,0,45,0,0
521,Tanner WillickÂ ,AIC,D,7,0,0,0,0,0,0,0,5,0,0,-2,20,2,3
522,Theo Angesved,AIC,D,12,1,1,2,0,0,0,0,8,0,0,1,41,4,7
523,Douglas Andersson,AIC,F,8,0,1,1,0,0,0,0,2,0,0,-3,30,2,2
524,Adam Marshall,Army,F,38,7,5,12,0,1,0,0,93,6,1,-3,117,33,29
525,Michael Sacco,Army,F,38,2,9,11,0,0,0,1,60,473,204,-7,117,35,16
526,Joey Baez,Army,F,38,7,9,16,0,1,0,0,82,0,0,-19,117,14,38
527,Hunter McCoy,Army,F,30,4,7,11,0,2,0,0,40,59,28,4,92,10,15
528,Andrew Gilbert,Army,D,38,0,3,3,0,0,0,0,26,0,0,-8,117,8,17
529,Sean Vlasich,Army,D,33,0,5,5,0,0,0,0,47,0,0,1,93,6,13
530,Mac Gadowsky,Army,D,38,16,26,42,4,2,0,1,99,0,0,5,117,6,61
531,Easton Zueger,Army,D,36,2,3,5,0,0,0,0,36,1,0,-8,111,28,32
532,Jon Bell,Army,D,26,0,4,4,0,0,0,0,37,1,0,-5,78,14,22
533,Pierce Patterson,Army,D,37,2,7,9,0,1,0,0,43,0,0,-3,114,12,37
534,Nik Hong,Army,F,36,11,11,22,3,2,2,0,66,608,318,-9,112,10,20
535,Vincent Salice,Army,F,35,6,8,14,0,1,0,0,79,1,1,0,108,6,26
536,Barron Woodring,Army,F,38,11,15,26,5,2,1,0,77,720,388,-9,117,12,27
537,Brent Keefer,Army,F,36,7,12,19,2,1,0,1,66,123,56,-5,107,29,28
538,Ben Ivey,Army,F,37,8,13,21,0,0,0,0,65,308,131,5,113,10,19
539,Jack Ivey,Army,F,38,10,15,25,4,2,0,1,104,35,16,4,117,6,46
540,Nils Forselius,Army,F,35,7,15,22,3,1,0,0,60,11,5,5,110,18,27
541,Dylan Wegner,Army,F,33,2,4,6,0,0,0,0,46,4,1,-8,95,16,13
542,Sam Groebner,Army,D,38,2,7,9,0,0,0,0,25,0,0,4,117,14,17
543,JJ Cataldo,Army,G,31,0,1,1,0,0,0,0,0,0,0,0,91,0,0
544,Jacob Biron,Army,G,2,0,1,1,0,0,0,0,0,0,0,0,7,0,0
545,Josh Bohlin,Army,F,3,0,0,0,0,0,0,0,4,0,0,-2,7,0,1
546,Trevor Smith,Army,F,7,0,0,0,0,0,0,0,6,1,0,-5,23,0,6
547,Jude Brower,Army,D,6,1,0,1,0,0,0,0,5,0,0,-5,19,0,4
548,Evan Szary,Army,G,10,0,0,0,0,0,0,0,0,0,0,0,43,0,0
549,Stephen Willey,Army,F,6,0,2,2,0,0,0,0,5,0,0,0,31,0,3
550,Noah Alvarez,Army,F,3,0,0,0,0,0,0,0,2,0,0,-2,8,0,0
551,Lucas Kanta,Army,F,5,0,0,0,0,0,0,0,4,1,1,-3,18,2,0
552,Joey Dosan,Army,F,1,0,0,0,0,0,0,0,3,4,0,0,4,0,0
553,Andrew Garby,Army,D,2,0,0,0,0,0,0,0,0,0,0,0,6,12,2
554,Owen Nolan,Army,D,8,0,0,0,0,0,0,0,6,0,0,-2,30,10,7
555,Ethan Leyh,Bentley,F,35,16,22,38,6,1,0,5,137,772,436,11,76,25,51
556,A.J. Hodges,Bentley,F,28,8,9,17,3,2,0,1,78,41,19,7,57,8,29
557,Nick Bochen,Bentley,D,38,8,18,26,1,1,0,1,110,0,0,15,83,31,57
558,Nik Armstrong-Kingkade,Bentley,F,36,10,13,23,2,2,2,2,90,0,0,7,81,14,21
559,Artem Buzoverya,Bentley,F,32,6,8,14,1,0,0,0,29,359,206,5,72,4,7
560,Tucker Hodgson,Bentley,D,37,2,4,6,0,0,0,0,29,0,0,5,78,22,19
561,Tanner Main,Bentley,D,33,2,7,9,0,1,0,1,38,0,0,11,76,18,19
562,Stephen Castagna,Bentley,F,38,5,18,23,3,1,0,1,96,81,30,7,83,19,17
563,Arlo Merritt,Bentley,F,33,8,6,14,0,3,0,1,59,374,209,10,73,8,18
564,Connor Hasley,Bentley,G,34,0,0,0,0,0,0,0,0,0,0,0,75,0,0
