PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Andrew Takacs,Colgate,G,32,1,0,1,1,0,0,0,0,6,0
Owen Neuharth,Colgate,F,29,34,3,6,9,0,1,0,1,8,11
Robby Newton,Colgate,F,25,36,3,6,9,0,0,1,0,8,5
Niko Rexine,Colgate,F,33,55,5,10,15,0,2,0,1,12,8
Jake Schneider,Colgate,F,36,108,4,9,13,0,1,1,0,14,18
Antonio Fernandez,Colgate,D,31,96,5,9,14,0,0,0,0,10,31
Jacob Napier,Colgate,D,26,43,2,2,4,0,0,0,0,6,13
Ryan Sullivan,Colgate,F,23,67,5,10,15,1,1,0,0,20,10
Ryan Sullivan,Miami,F,34,83,6,4,10,3,0,0,0,8,23
Michael Neumeier,Colgate,D,35,141,8,12,20,1,2,0,0,9,32
Simone DadiÃ¨,Colgate,F,30,46,5,2,7,0,1,0,0,8,9
Max Nagel,Colgate,F,36,130,6,18,24,1,0,0,1,12,22
Jack Brandt,Colgate,F,30,37,2,5,7,0,1,0,0,40,6
Ryan Spinale,Colgate,F,34,52,4,2,6,2,0,0,0,69,8
Brett Merner,Colgate,D,35,51,3,6,9,0,0,0,0,0,14
Daniel Panetta,Colgate,F,25,129,10,3,13,2,3,0,1,12,27
Bobby Metz,Colgate,D,9,9,0,1,1,0,0,0,0,0,4
Dominic Foglia,Colgate,D,15,20,0,1,1,0,0,0,0,4,7
Simon Labelle,Colgate,F,25,76,1,11,12,0,0,0,0,8,13
Nick Haas,Colgate,G,7,0,0,0,0,0,0,0,0,0,0
Hank Kempf,Cornell,D,32,71,2,5,7,0,0,0,0,16,22
Sullivan Mack,Cornell,F,28,111,8,12,20,1,1,0,2,19,22
Ondrej Psenicka,Cornell,F,26,80,8,11,19,3,1,0,0,10,17
Ian Shane,Cornell,G,30,0,0,1,1,0,0,0,0,2,0
Tim Rego,Cornell,D,32,110,7,13,20,0,1,0,0,18,26
Kyle Penney,Cornell,F,21,74,6,1,7,0,0,1,1,15,13
Kyler Kovich,Cornell,F,32,67,4,8,12,0,1,0,0,23,12
Jack O'Leary,Cornell,F,30,67,7,9,16,0,3,0,0,19,18
Michael Suda,Cornell,D,32,92,0,11,11,0,0,0,0,18,35
Dalton Bancroft,Cornell,F,32,206,15,10,25,3,4,2,0,44,55
Nick DeSantis,Cornell,F,29,77,7,5,12,1,0,0,1,24,15
Jack O'Brien,Cornell,D,26,25,0,3,3,0,0,0,0,2,4
Hoyt Stanley,Cornell,D,31,74,2,10,12,0,0,0,0,36,24
Jake Kraft,Cornell,F,32,86,7,6,13,0,1,0,0,4,16
Tyler Catalano,Cornell,F,32,37,2,4,6,0,1,0,0,26,6
Ben Robertson,Cornell,D,32,103,2,11,13,1,0,0,0,8,27
Jonathan Castagna,Cornell,F,28,104,4,9,13,0,0,0,1,16,18
Ryan Walsh,Cornell,F,32,130,13,12,25,3,2,0,1,16,27
Charlie Major,Cornell,F,24,96,4,12,16,1,1,0,0,6,22
Nicholas Wolfenberg,Cornell,D,13,11,1,1,2,0,0,0,0,2,0
Jimmy Rayhill,Cornell,D,6,3,0,1,1,0,0,0,0,0,0
George Fegaras,Cornell,D,26,95,1,12,13,0,0,0,0,10,31
Sean Donaldson,Cornell,F,16,30,0,0,0,0,0,0,0,19,4
John Fusco,Dartmouth,D,31,191,10,10,20,2,6,0,1,39,63
Sean Chisholm,Dartmouth,F,32,130,15,11,26,4,3,0,1,10,22
Braiden Dorfman,Dartmouth,F,30,88,7,9,16,1,0,0,0,20,25
Trym Lokkeberg,Dartmouth,F,22,4,0,3,3,0,0,0,0,6,1
Ian Pierce,Dartmouth,D,24,76,1,8,9,0,0,0,0,13,31
Steven Townley,Dartmouth,F,32,42,4,4,8,0,1,0,0,2,7
Cam MacDonald,Dartmouth,F,32,62,6,10,16,0,1,1,1,8,9
Cooper Flinton,Dartmouth,F,31,92,11,13,24,4,1,2,2,8,18
Luke Haymes,Dartmouth,F,21,88,12,6,18,1,2,0,0,14,21
Alex Krause,Dartmouth,F,30,45,4,8,12,0,0,0,0,0,3
Emmett Croteau,Dartmouth,G,18,0,0,0,0,0,0,0,0,9,0
Eric Charpentier,Dartmouth,D,32,108,3,8,11,0,0,0,1,26,42
CJ Foley,Dartmouth,D,32,140,11,19,30,1,1,1,2,10,51
Matt Fusco,Dartmouth,D,30,75,1,6,7,1,0,0,0,4,27
Nikita Nikora,Dartmouth,F,32,90,4,26,30,1,0,0,0,4,22
Colin Grable,Dartmouth,D,18,23,0,1,1,0,0,0,0,8,9
Hayden Stavroff,Dartmouth,D,30,114,10,12,22,2,3,0,0,41,24
Tim Busconi,Dartmouth,D,20,22,0,0,0,0,0,0,0,4,8
Hank Cleaves,Dartmouth,F,31,76,5,15,20,0,0,0,0,10,21
Jack Silverberg,Dartmouth,F,29,28,0,5,5,0,0,0,0,15,7
Tucker McRae,Dartmouth,D,25,30,0,1,1,0,0,0,0,6,8
Joshua Schenk,Dartmouth,F,18,23,0,2,2,0,0,0,0,2,3
Roan Clarke,Dartmouth,G,16,0,0,0,0,0,0,0,0,0,0
Nate Morgan,Dartmouth,F,16,9,4,0,4,1,0,0,1,0,1
Oskari Vuorio,Dartmouth,F,4,4,1,0,1,0,0,0,0,0,0
Ian Moore,Harvard,D,32,165,3,11,14,1,0,0,0,14,35
Jack Bar,Harvard,D,25,54,0,3,3,0,0,0,0,25,14
Kyle Aucoin,Harvard,D,28,81,2,2,4,0,0,0,1,8,19
Zakary Karpa,Harvard,F,31,59,1,6,7,0,0,0,0,8,8
Mason Langenbrunner,Harvard,D,33,104,6,4,10,3,1,0,0,24,30
Philip Tresca,Harvard,F,31,83,4,8,12,0,1,0,0,6,16
Ryan Healey,Harvard,D,33,150,4,9,13,2,0,0,0,12,44
Joe Miller,Harvard,F,28,92,5,18,23,0,1,0,0,8,12
Marek Hejduk,Harvard,F,25,44,4,1,5,1,1,0,0,8,7
Casey Severo,Harvard,F,33,99,16,12,28,8,4,0,1,4,14
Aku Koskenvuo,Harvard,G,21,1,0,0,0,0,0,0,0,0,0
Ryan Fine,Harvard,F,24,54,1,4,5,0,0,0,0,2,7
Matthew Morden,Harvard,D,31,73,1,5,6,0,0,0,0,6,24
Michael Callow,Harvard,F,30,88,3,5,8,0,0,0,0,14,13
Ben  MacDonald,Harvard,F,27,102,5,11,16,2,1,0,0,18,19
CamÂ Cameron Johnson,Harvard,F,31,85,5,4,9,0,1,0,0,2,20
Will Hughes,Harvard,F,31,50,1,1,2,0,0,0,0,6,8
Justin Solovey,Harvard,F,33,120,5,7,12,0,0,0,2,16,22
