PLAYER,Team,Pos,GP,SHOT ATTEMPTS,G,A,PTS,PPG,GWG,SHG,ENG,PEN MIN,BLOCKS
Sutter Muzzatti,Rensselaer,F,10,25,2,1,3,0,0,0,0,8,7
Carson Dorfman,Rensselaer,G,1,0,0,0,0,0,0,0,0,0,0
Greg Lapointe,St. Lawrence,F,34,170,11,8,19,2,2,0,0,18,34
Tomas Mazura,St. Lawrence,F,17,62,1,13,14,0,1,0,0,4,16
Mason Waite,St. Lawrence,D,35,154,4,12,16,2,1,1,0,6,45
Philippe Chapleau,St. Lawrence,D,35,86,3,8,11,1,1,0,0,12,30
Drake Burgin,St. Lawrence,D,35,100,2,5,7,1,0,0,0,14,36
Ty Naaykens,St. Lawrence,F,27,83,5,5,10,2,0,1,0,19,18
Will Arquiett,St. Lawrence,F,27,48,4,2,6,0,0,0,0,10,12
Oak MacLeod,St. Lawrence,F,4,7,0,0,0,0,0,0,0,0,1
Reilly Connors,St. Lawrence,F,35,82,2,7,9,0,1,0,0,24,7
Felikss Gavars,St. Lawrence,F,34,172,6,9,15,2,0,0,0,25,39
Isack Bandu,St. Lawrence,D,31,54,2,5,7,1,1,0,0,27,11
Jan Olenginski,St. Lawrence,D,29,61,2,4,6,0,0,0,0,10,9
Mason Kucenski,St. Lawrence,G,28,0,0,2,2,0,0,0,0,0,0
Evan Orloff,St. Lawrence,D,19,30,0,2,2,0,0,0,0,10,13
Sam Hall,St. Lawrence,D,22,29,0,2,2,0,0,0,0,8,9
Gabe Westling,St. Lawrence,F,29,58,1,8,9,0,0,0,0,6,16
Jacob Bernadet,St. Lawrence,F,27,65,1,1,2,1,0,0,0,2,9
Spencer Bell,St. Lawrence,F,32,60,3,1,4,1,0,0,0,20,13
Isaac Tremblay,St. Lawrence,F,33,95,4,8,12,0,0,0,0,25,14
Nicholas Beneteau,St. Lawrence,F,32,68,2,4,6,0,1,0,0,6,13
Jake Lammens,St. Lawrence,D,23,38,0,0,0,0,0,0,0,2,12
Gunnar Thoreson,St. Lawrence,F,33,68,5,3,8,0,1,0,0,8,15
Dominic Basse,St. Lawrence,G,10,0,0,0,0,0,0,0,0,0,0
Tyler Cristall,St. Lawrence,F,29,143,8,9,17,3,0,0,0,12,39
Evan Mitchell,St. Lawrence,D,5,2,0,0,0,0,0,0,0,0,1
Cayden Casey,St. Lawrence,F,13,41,1,3,4,0,0,0,0,17,7
Jan Lasak,St. Lawrence,F,16,47,4,2,6,0,0,0,0,4,14
Connor Sullivan,Yale,D,30,96,2,9,11,1,0,0,0,24,30
Dylan Herzog,Yale,D,30,77,2,9,11,1,1,0,0,33,28
William Dineen,Yale,F,30,96,6,12,18,2,0,0,0,24,11
Briggs Gammill,Yale,F,30,135,3,4,7,1,0,0,0,18,33
Kieran O'Hearn,Yale,D,29,67,1,6,7,0,0,0,0,32,19
Kalen Szeto,Yale,F,27,57,4,1,5,1,0,1,0,4,6
Elan Bar-Lev-Wise,Yale,F,24,20,1,1,2,0,0,1,0,8,2
Bayard Hall,Yale,D,27,75,0,4,4,0,0,0,0,12,21
Jack Stark,Yale,G,20,0,0,0,0,0,0,0,0,0,0
David Andreychuk,Yale,F,26,37,1,3,4,0,0,0,0,22,8
Will Richter,Yale,F,30,73,5,6,11,0,0,1,0,14,17
Iisai Pesonen,Yale,F,25,53,1,2,3,0,0,0,0,10,20
Seiya Tanaka-Campbell,Yale,F,20,9,0,0,0,0,0,0,0,4,2
Owen Forester,Yale,D,2,3,0,0,0,0,0,0,0,0,0
Rhys Bentham,Yale,D,8,24,1,3,4,0,0,1,0,2,7
Ronan O'Donnell,Yale,F,29,102,11,9,20,2,3,0,0,31,12
Micah Berger,Yale,D,21,67,5,10,15,3,0,0,0,6,18
Zach Wagnon,Yale,F,30,86,3,11,14,0,1,0,0,18,18
Donovan Frias,Yale,F,30,92,7,5,12,3,0,0,0,20,11
Julian Frias,Yale,F,30,57,2,4,6,1,0,0,0,12,7
JoJo Tanaka-Campbell,Yale,F,10,4,0,0,0,0,0,0,0,2,2
Tucker Hartmann,Yale,D,16,29,1,0,1,0,0,0,0,2,7
David Chen,Yale,F,18,78,10,7,17,2,0,0,1,23,12
Hughie Hooker,Yale,D,26,60,1,5,6,0,1,0,0,10,16
Joe Blackley,Yale,D,9,8,0,1,1,0,0,0,0,0,1
Luke Pearson,Yale,G,6,0,0,0,0,0,0,0,0,0,0
Noah Pak,Yale,G,8,0,0,0,0,0,0,0,0,0,0
Linden Alger,Massachusetts,D,38,92,3,6,9,0,0,0,0,10,17
Joey Musa,Massachusetts,F,31,46,1,1,2,0,0,0,0,6,10
Lucas Mercuri,Massachusetts,F,38,122,10,21,31,2,0,0,0,22,18
Ryan Lautenbach,Massachusetts,F,38,115,6,14,20,0,2,0,1,19,16
Michael Cameron,Massachusetts,F,21,43,3,4,7,1,0,0,1,4,9
Owen Murray,Massachusetts,D,38,128,5,8,13,0,0,0,1,16,26
Kenny Connors,Massachusetts,F,38,197,10,18,28,2,4,0,3,6,50
Cole O'Hara,Massachusetts,F,38,204,22,29,51,7,4,1,1,14,37
Kennedy O'Connor,Massachusetts,D,31,44,0,6,6,0,0,0,0,8,14
Lucas Olvestad,Massachusetts,D,36,138,4,15,19,1,0,0,0,22,48
Cam O'Neill,Massachusetts,F,24,45,2,1,3,0,0,0,0,6,3
Jack Musa,Massachusetts,F,38,167,18,17,35,3,3,0,0,4,27
Dans Locmelis,Massachusetts,F,38,147,7,23,30,3,1,0,0,8,22
Aydar Suniev,Massachusetts,F,33,219,18,18,36,5,3,0,1,24,44
Nick VanTassell,Massachusetts,F,33,38,2,2,4,0,0,0,0,11,5
Bo Cosman,Massachusetts,F,28,34,0,3,3,0,0,0,0,8,5
Michael Hrabal,Massachusetts,G,34,0,0,0,0,0,0,0,0,0,0
Finn Loftus,Massachusetts,D,29,24,0,1,1,0,0,0,0,4,5
Larry Keenan,Massachusetts,D,38,138,3,7,10,0,0,0,0,16,43
Francesco Dell'Elce,Massachusetts,D,38,200,6,16,22,1,2,0,0,12,64
Cam Dunn,Massachusetts,F,6,6,0,0,0,0,0,0,0,0,0
James Duerr,Massachusetts,F,31,29,2,3,5,0,0,0,0,6,3
Kaz Sobieski,Massachusetts,D,5,3,0,0,0,0,0,0,0,2,2
Daniel JenÄko,Massachusetts,F,26,77,5,9,14,2,1,0,0,10,14
Jackson Irving,Massachusetts,G,6,0,0,1,1,0,0,0,0,0,0
Pierson Brandon,UMass Lowell,D,34,96,6,2,8,0,2,1,1,16,21
Jack Robilotti,UMass Lowell,D,35,59,2,4,6,0,1,0,0,32,16
Ben Meehan,UMass Lowell,D,36,133,3,14,17,0,1,0,0,29,42
Henry Welsch,UMass Lowell,G,20,0,0,1,1,0,0,0,0,0,0
Isac Jonsson,UMass Lowell,D,35,150,2,10,12,2,0,0,0,4,46
Matt Crasa,UMass Lowell,F,29,105,5,9,14,1,1,0,0,12,24
Owen Cole,UMass Lowell,F,36,116,8,12,20,3,1,0,0,6,13
Ian Carpentier,UMass Lowell,F,27,75,2,7,9,0,0,0,1,8,21
Scout Truman,UMass Lowell,F,36,166,10,8,18,2,3,0,1,52,49
TJ Schweighardt,UMass Lowell,D,36,100,0,10,10,0,0,0,0,6,29
Connor Eddy,UMass Lowell,F,36,90,5,5,10,0,1,0,0,32,13
Dillan Bentley,UMass Lowell,F,34,130,9,7,16,1,1,0,0,16,20
Jak Vaarwerk,UMass Lowell,F,36,104,5,11,16,1,1,0,1,12,19
Nick Anderson,UMass Lowell,D,35,66,2,12,14,0,0,0,0,14,24
Chris Delaney,UMass Lowell,F,35,102,9,9,18,2,0,0,0,16,22
Mirko Buttazoni,UMass Lowell,F,32,122,5,14,19,1,0,0,0,16,20
Libor Nemec,UMass Lowell,F,26,74,6,6,12,3,2,0,0,14,15
Lee Parks,UMass Lowell,F,34,87,8,6,14,4,1,0,0,10,13
Jacob MacDonald,UMass Lowell,F,14,23,2,2,4,0,0,0,0,4,3
Beni Halasz,UMass Lowell,G,18,0,0,0,0,0,0,0,0,0,0
Jack Collins,UMass Lowell,F,16,21,0,1,1,0,0,0,0,0,0
Girts Silkalns,UMass Lowell,F,10,17,1,2,3,0,0,0,0,2,4
Daniel Buchbinder,UMass Lowell,D,14,8,0,1,1,0,0,0,0,4,4
Stefan Owens,UMass Lowell,F,26,44,2,0,2,0,1,0,0,0,9
Mitchell Becker,UMass Lowell,D,16,23,1,2,3,0,0,0,0,8,10
Sean Kilcullen,UMass Lowell,D,8,6,0,0,0,0,0,0,0,0,1
Jaiden Moriello,UMass Lowell,F,2,3,0,0,0,0,0,0,0,0,1
Dominick Rivelli,UMass Lowell,F,3,2,0,0,0,0,0,0,0,2,0
Ryan St. Louis,Brown,F,23,80,11,18,29,0,6,0,1,2,19
Brett Bliss,Brown,D,31,110,1,4,5,0,1,0,0,10,33
Wyatt Schlaht,Brown,F,11,9,0,0,0,0,0,0,0,2,3
Brendan Clark,Brown,F,31,80,6,6,12,0,1,0,0,30,14
Tony Andreozzi,Brown,D,32,64,1,6,7,0,0,0,0,6,12
Thomas Manty,Brown,F,7,8,0,1,1,0,0,0,0,0,2
Lynden Grandberg,Brown,F,19,17,1,0,1,0,0,0,0,4,3
Noah Wakeford,Brown,F,2,1,0,0,0,0,0,0,0,0,1
Spence Evans,Brown,D,13,10,0,0,0,0,0,0,0,2,4
Nick Traggio,Brown,D,26,81,1,3,4,0,0,0,0,10,24
Ryan Shostak,Brown,F,32,45,3,3,6,0,0,0,1,14,12
Dean Bauchiero,Brown,F,17,25,3,0,3,0,1,0,1,19,6
Tyler Shea,Brown,G,6,0,0,0,0,0,0,0,0,0,0
Lawton Zacher,Brown,G,28,0,0,0,0,0,0,0,0,0,0
Alex Pineau,Brown,D,32,129,7,9,16,2,0,0,0,14,43
Tyler Kopff,Brown,F,32,203,9,19,28,6,1,1,0,12,51
Mike Cataldo,Brown,F,28,32,1,2,3,0,0,0,0,4,4
Ethan Mistry,Brown,D,32,98,2,10,12,0,0,0,0,6,30
Max Scott,Brown,F,32,137,12,14,26,3,1,0,2,21,29
Charlie Gollob,Brown,F,27,56,4,5,9,0,1,0,0,29,12
Ivan Zadvernyuk,Brown,F,32,103,3,7,10,0,0,0,0,33,26
Ryan Kazmouz,Brown,G,1,0,0,0,0,0,0,0,0,0,0
Tanner Hartman,Brown,F,23,21,1,2,3,0,0,0,0,6,3
Jack Hewitt,Brown,D,11,14,0,1,1,0,0,0,0,2,5
Zackary Tonelli,Brown,F,25,49,2,0,2,0,0,2,0,6,6
Tristan Zarsky,Brown,D,20,33,0,0,0,0,0,0,0,6,11
Andrew King,Brown,F,14,16,0,1,1,0,0,0,0,0,5
Brian Nicholas,Brown,F,28,134,11,14,25,4,2,0,0,10,32
Leo Schwartz,Brown,D,20,28,0,2,2,0,0,0,0,6,7
Matthew Brille,Brown,F,4,3,0,0,0,0,0,0,0,2,0
Danny Weight,AIC,F,34,76,5,7,12,1,0,0,0,37,14
Jordan Biro,AIC,F,36,82,3,9,12,1,0,0,0,6,15
Lauri Sertti,AIC,D,37,77,1,6,7,1,0,0,0,6,24
Evan Stella,AIC,D,35,95,1,6,7,0,0,0,0,16,21
Oscar Geschwind,AIC,F,36,93,5,7,12,0,1,0,1,4,16
Brett Bamber,AIC,D,35,165,6,12,18,0,0,0,0,14,39
David Posma,AIC,D,35,66,2,7,9,0,0,0,0,51,17
Blake Dangos,AIC,D,33,53,1,2,3,0,0,0,0,18,18
Josh Barnes,AIC,F,38,162,14,10,24,3,1,0,0,6,36
Brett Rylance,AIC,F,35,123,3,10,13,1,0,0,0,12,24
John Lundy,AIC,F,37,138,10,10,20,6,0,0,0,10,30
Noah Serdachny,AIC,F,37,125,4,12,16,0,2,0,0,10,27
Chase Clark,AIC,G,25,0,0,1,1,0,0,0,0,5,0
Alfred LindbergÂ ,AIC,F,33,119,7,4,11,1,2,0,0,4,27
Dario Beljo,AIC,F,30,58,11,9,20,4,3,0,0,10,16
Hunter Longhi,AIC,F,13,24,2,2,4,1,0,0,0,4,4
Tyler ProciousÂ ,AIC,D,31,83,1,5,6,1,0,0,0,8,26
Tobias LarsenÂ ,AIC,D,17,28,0,2,2,0,0,0,0,10,9
Justin MexicoÂ ,AIC,F,32,96,3,12,15,0,1,0,0,12,21
Wilhelm ForsbergÂ ,AIC,F,20,34,1,5,6,1,0,0,0,6,9
Joey LoVullo,AIC,G,1,0,0,0,0,0,0,0,0,0,0
Timofei Khokhlachev,AIC,F,31,76,8,10,18,1,2,0,1,50,12
Alexander Malinowski,AIC,F,25,71,0,8,8,0,0,0,0,6,12
Casey McDonald,AIC,F,27,58,3,4,7,0,1,0,0,25,11
Peyton GrainerÂ ,AIC,G,12,0,0,0,0,0,0,0,0,0,0
Adam ManjiÂ ,AIC,G,7,1,0,1,1,0,0,0,0,0,0
Tanner WillickÂ ,AIC,D,7,12,0,0,0,0,0,0,0,2,3
Theo Angesved,AIC,D,12,20,1,1,2,0,0,0,0,4,7
Douglas Andersson,AIC,F,8,4,0,1,1,0,0,0,0,2,2
Adam Marshall,Army,F,38,154,7,5,12,0,1,0,0,33,29
Michael Sacco,Army,F,38,98,2,9,11,0,0,0,1,35,16
Joey Baez,Army,F,38,163,7,9,16,0,1,0,0,14,38
Hunter McCoy,Army,F,30,79,4,7,11,0,2,0,0,10,15
Andrew Gilbert,Army,D,38,55,0,3,3,0,0,0,0,8,17
Sean Vlasich,Army,D,33,73,0,5,5,0,0,0,0,6,13
Mac Gadowsky,Army,D,38,199,16,26,42,4,2,0,1,6,61
Easton Zueger,Army,D,36,85,2,3,5,0,0,0,0,28,32
Jon Bell,Army,D,26,73,0,4,4,0,0,0,0,14,22
Pierce Patterson,Army,D,37,111,2,7,9,0,1,0,0,12,37
Nik Hong,Army,F,36,108,11,11,22,3,2,2,0,10,20
Vincent Salice,Army,F,35,123,6,8,14,0,1,0,0,6,26
Barron Woodring,Army,F,38,131,11,15,26,5,2,1,0,12,27
Brent Keefer,Army,F,36,120,7,12,19,2,1,0,1,29,28
Ben Ivey,Army,F,37,108,8,13,21,0,0,0,0,10,19
Jack Ivey,Army,F,38,197,10,15,25,4,2,0,1,6,46
Nils Forselius,Army,F,35,125,7,15,22,3,1,0,0,18,27
Dylan Wegner,Army,F,33,73,2,4,6,0,0,0,0,16,13
Sam Groebner,Army,D,38,52,2,7,9,0,0,0,0,14,17
JJ Cataldo,Army,G,31,0,0,1,1,0,0,0,0,0,0
Jacob Biron,Army,G,2,0,0,1,1,0,0,0,0,0,0
Josh Bohlin,Army,F,3,5,0,0,0,0,0,0,0,0,1
Trevor Smith,Army,F,7,15,0,0,0,0,0,0,0,0,6
Jude Brower,Army,D,6,12,1,0,1,0,0,0,0,0,4
Evan Szary,Army,G,10,0,0,0,0,0,0,0,0,0,0
Stephen Willey,Army,F,6,10,0,2,2,0,0,0,0,0,3
Noah Alvarez,Army,F,3,4,0,0,0,0,0,0,0,0,0
Lucas Kanta,Army,F,5,5,0,0,0,0,0,0,0,2,0
Joey Dosan,Army,F,1,4,0,0,0,0,0,0,0,0,0
Andrew Garby,Army,D,2,2,0,0,0,0,0,0,0,12,2
Owen Nolan,Army,D,8,16,0,0,0,0,0,0,0,10,7
Ethan Leyh,Bentley,F,35,222,16,22,38,6,1,0,5,25,51
A.J. Hodges,Bentley,F,28,137,8,9,17,3,2,0,1,8,29
Nick Bochen,Bentley,D,38,212,8,18,26,1,1,0,1,31,57
Nik Armstrong-Kingkade,Bentley,F,36,131,10,13,23,2,2,2,2,14,21
Artem Buzoverya,Bentley,F,32,48,6,8,14,1,0,0,0,4,7
Tucker Hodgson,Bentley,D,37,54,2,4,6,0,0,0,0,22,19
Tanner Main,Bentley,D,33,88,2,7,9,0,1,0,1,18,19
Stephen Castagna,Bentley,F,38,143,5,18,23,3,1,0,1,19,17
Arlo Merritt,Bentley,F,33,93,8,6,14,0,3,0,1,8,18
Connor Hasley,Bentley,G,34,0,0,0,0,0,0,0,0,0,0
Ryan Upson,Bentley,F,31,53,1,12,13,0,1,0,0,6,12
Ryan Nause,Bentley,D,16,26,0,0,0,0,0,0,0,6,7
Kellan Hjartarson,Bentley,F,38,102,8,6,14,4,3,0,0,4,15
Chase Davis,Bentley,F,23,57,3,4,7,0,0,0,0,4,10
Garrett Horsager,Bentley,D,37,98,0,9,9,0,0,0,0,31,35
Colton Cameron,Bentley,D,35,40,0,5,5,0,0,0,0,8,18
Ryan Mansfield,Bentley,F,31,100,8,10,18,1,3,0,0,4,16
Oliver Salo,Bentley,F,27,76,2,4,6,0,0,0,0,6,18
Oskar Bakkevig,Bentley,F,27,116,10,6,16,1,0,0,2,29,34
Samuel Duerr,Bentley,D,35,172,7,7,14,1,3,0,0,12,53
Jimmy DoyleÂ ,Bentley,F,30,85,0,8,8,0,0,0,0,6,9
David Helledy,Bentley,D,22,30,0,1,1,0,0,0,0,6,8
Jake Black,Bentley,F,20,73,4,3,7,0,1,0,0,4,20
Peter Kramer,Bentley,F,19,47,0,4,4,0,0,0,0,8,7
Pat Lawn,Bentley,D,6,3,0,0,0,0,0,0,0,2,1
Max Beckford,Bentley,G,4,0,0,0,0,0,0,0,0,0,0
Kolby Amici,Bentley,F,5,6,0,0,0,0,0,0,0,2,0
Nicholas Bevilacqua,Bentley,G,2,0,0,0,0,0,0,0,0,0,0
Seth Bernard-Docker,Bentley,D,6,11,0,0,0,0,0,0,0,0,3
Jackson Decker,Canisius,D,34,105,1,12,13,0,0,0,0,16,37
Alec Cicero,Canisius,F,34,79,8,9,17,3,1,0,1,33,24
Mikey Colella,Canisius,F,36,75,4,8,12,0,1,0,0,6,19
Kyle Haskins,Canisius,F,37,169,11,12,23,3,2,0,1,24,44
Cole Kodsi,Canisius,F,31,104,4,8,12,0,1,0,0,8,18
Luke Farthing,Canisius,D,14,43,1,4,5,0,0,0,0,10,14
Cody Schiavon,Canisius,D,34,75,2,0,2,0,0,0,0,24,23
Alton McDermott,Canisius,F,33,78,7,8,15,1,3,0,0,6,14
Matt Vermaeten,Canisius,F,34,81,4,4,8,0,1,0,0,2,12
Oliver Tarr,Canisius,F,30,110,8,7,15,2,0,0,0,8,15
Stefano Bottini,Canisius,F,33,53,3,1,4,0,0,1,0,23,12
Kash Rasmussen,Canisius,F,14,37,2,6,8,2,0,0,0,6,7
Grant Porter,Canisius,F,33,120,10,5,15,5,0,0,1,12,26
Matteo Giampa,Canisius,F,37,150,8,22,30,1,1,0,1,10,38
Trey Funk,Canisius,F,37,86,8,9,17,4,0,0,0,23,8
Ethan Robertson,Canisius,G,20,0,0,1,1,0,0,0,0,0,0
Jack Budd,Canisius,D,28,84,1,10,11,0,0,0,1,12,19
Dominic Payne,Canisius,D,37,131,6,8,14,1,1,1,0,14,34
Ben Bonisteel,Canisius,G,11,0,0,0,0,0,0,0,0,0,0
Carter Patterson,Canisius,D,28,59,1,4,5,0,0,1,1,31,22
Hunter Price,Canisius,F,16,29,0,0,0,0,0,0,0,4,4
Cooper Haar,Canisius,F,9,11,0,2,2,0,0,0,0,4,1
Keegan Langefels,Canisius,D,4,5,0,0,0,0,0,0,0,0,1
Hunter Andrew,Canisius,F,16,35,2,1,3,0,1,0,0,6,4
Christian MacDougall,Canisius,F,1,2,0,0,0,0,0,0,0,17,0
Luke Marshall,Canisius,D,23,47,1,1,2,0,0,0,0,6,10
Jackson Nieuwendyk,Canisius,F,22,33,1,2,3,0,0,1,0,6,4
Robert Kincaid,Canisius,D,22,73,2,4,6,1,0,1,0,0,20
Killian Kiecker-Olson,Canisius,F,22,40,3,2,5,1,0,0,0,6,11
Petter WickstrÃ¶m Stumer,Canisius,G,15,0,0,0,0,0,0,0,0,0,0
Ryan Gillespie,Canisius,F,1,2,0,0,0,0,0,0,0,0,0
Ryan Buckley,Holy Cross,D,13,8,0,1,1,0,0,0,0,4,1
John Gelatt,Holy Cross,F,36,129,7,10,17,2,1,0,0,10,30
Matt Shatsky,Holy Cross,D,27,68,1,8,9,0,0,0,0,8,23
Liam McLinskey,Holy Cross,F,39,273,23,28,51,9,2,1,4,18,68
Timothy Heinke,Holy Cross,F,37,172,12,7,19,3,1,0,1,24,34
Lachlan Getz,Holy Cross,D,37,83,0,8,8,0,0,0,0,32,27
Louden Hogg,Holy Cross,G,1,0,0,0,0,0,0,0,0,0,0
Matt DeBoer,Holy Cross,F,39,184,11,20,31,4,2,0,0,46,37
Devin Phillips,Holy Cross,F,33,127,10,20,30,3,2,0,0,6,26
Jack Seymour,Holy Cross,F,33,126,7,12,19,2,1,0,0,34,30
Michael Abgrall,Holy Cross,F,39,116,8,17,25,0,5,0,1,56,36
Brody Gagno,Holy Cross,D,37,53,1,7,8,0,0,1,0,40,20
Will Elias,Holy Cross,D,31,79,5,6,11,1,1,1,1,16,23
Jack Stockfish,Holy Cross,F,35,146,15,12,27,3,4,0,0,28,40
Connor Welsh,Holy Cross,F,29,38,0,3,3,0,0,0,0,8,7
Jarrod Smith,Holy Cross,F,13,16,0,1,1,0,0,0,0,8,5
Edward Moskowitz,Holy Cross,F,7,8,0,1,1,0,0,0,0,0,0
Ben LeFranc,Holy Cross,D,21,26,1,0,1,0,0,0,0,2,8
William Troutwine,Holy Cross,D,29,57,2,2,4,0,1,0,1,0,22
Matthew Kursonis,Holy Cross,F,26,125,9,14,23,5,3,0,0,14,21
Nic Petruolo,Holy Cross,D,25,57,1,7,8,0,0,0,1,54,22
Thomas Gale,Holy Cross,G,38,0,0,0,0,0,0,0,0,0,0
Mack Oliphant,Holy Cross,D,35,170,3,24,27,0,0,1,0,4,55
Joe Solimine,Holy Cross,F,31,60,1,5,6,0,0,0,0,12,8
Ty Gagno,Holy Cross,F,32,99,4,9,13,0,0,1,1,26,21
Owen Kim,Holy Cross,F,25,82,3,4,7,1,1,0,0,39,16
Michael Hodge,Holy Cross,F,23,42,3,1,4,0,0,0,0,2,7
Steven Agriogianis,Mercyhurst,F,34,89,8,12,20,5,1,0,0,8,20
Mickey Burns,Mercyhurst,F,32,131,10,11,21,2,0,0,0,23,26
Jake Beaune,Mercyhurst,D,26,72,1,2,3,0,0,0,0,36,15
Dustin Geregach,Mercyhurst,D,35,165,7,14,21,1,0,1,0,10,41
Ryan Coughlin,Mercyhurst,F,35,61,5,10,15,0,1,1,0,12,6
Tyler Nasca,Mercyhurst,D,31,54,1,3,4,0,0,0,0,4,16
Barrett Brooks,Mercyhurst,F,25,57,2,7,9,0,0,0,0,2,13
Trent Sambrook,Mercyhurst,D,35,92,0,11,11,0,0,0,0,18,36
Tyler DesRochers,Mercyhurst,D,26,40,5,3,8,1,0,0,1,16,11
Sean James,Mercyhurst,F,34,105,3,8,11,0,0,0,1,10,20
Boris Skalos,Mercyhurst,F,34,158,5,9,14,1,2,0,0,12,39
Cameron Ricotta,Mercyhurst,F,2,2,0,0,0,0,0,0,0,0,0
Spencer Smith,Mercyhurst,F,32,38,1,3,4,0,0,0,0,6,8
Connor Pelc,Mercyhurst,F,28,64,2,5,7,0,0,0,0,29,12
Brendan Lamb,Mercyhurst,F,33,69,2,8,10,1,0,0,0,4,13
Riley Fitzgerald,Mercyhurst,F,32,78,7,7,14,2,0,0,0,6,9
Kaden Muir,Mercyhurst,D,21,22,0,1,1,0,0,0,0,16,6
Christian Kocsis,Mercyhurst,F,25,24,0,2,2,0,0,0,0,10,3
Caleb Price,Mercyhurst,D,24,54,0,7,7,0,0,0,0,0,15
Carter McPhail,Mercyhurst,G,22,0,0,0,0,0,0,0,0,4,0
Will Margel,Mercyhurst,F,24,78,6,6,12,2,0,0,0,16,14
Jaryd Sych,Mercyhurst,D,30,66,2,0,2,0,0,0,0,12,21
Simon Bucheler,Mercyhurst,G,11,0,0,0,0,0,0,0,0,2,0
Dominik Bartecko,Mercyhurst,F,31,77,6,6,12,3,0,0,0,2,13
Davis Fry,Mercyhurst,F,11,8,1,0,1,0,0,0,0,4,1
Michael Chambre,Mercyhurst,G,6,0,0,0,0,0,0,0,0,0,0
Matteo Disipio,Mercyhurst,F,16,38,3,3,6,0,0,0,0,2,10
Kyler Head,Mercyhurst,F,6,13,0,0,0,0,0,0,0,6,1
John Jaworski,Sacred Heart,F,39,140,13,18,31,1,3,1,1,12,24
Tyler Ghirardosi,Sacred Heart,F,32,89,8,11,19,2,1,0,2,12,18
Max Dorrington,Sacred Heart,F,38,96,12,10,22,3,3,0,0,47,12
Gabe Blanchard,Sacred Heart,D,38,113,0,6,6,0,0,0,0,31,35
Hunter Sansbury,Sacred Heart,D,39,159,6,15,21,3,1,0,0,30,39
Marcus Joughin,Sacred Heart,F,39,103,3,18,21,0,0,0,0,14,26
Garrett Sundquist,Sacred Heart,D,20,28,1,3,4,0,0,0,0,2,7
Matt Guerra,Sacred Heart,F,39,122,7,12,19,0,0,0,2,37,29
FÃ©lix Trudeau,Sacred Heart,F,39,231,15,23,38,7,3,0,1,64,53
Reid Pabich,Sacred Heart,F,39,120,13,15,28,0,3,0,2,18,13
Mikey Adamson,Sacred Heart,D,37,178,12,15,27,4,4,0,0,14,66
John Driscoll,Sacred Heart,D,39,119,2,8,10,1,0,0,0,14,44
Jake Hewitt,Sacred Heart,F,32,60,5,8,13,0,2,0,0,14,10
Jake Bongo,Sacred Heart,F,22,45,3,4,7,0,1,0,0,0,10
Cole Galata,Sacred Heart,F,37,49,6,7,13,0,0,0,1,11,10
Cullen DeYoung,Sacred Heart,G,15,0,0,0,0,0,0,0,0,0,0
Aiden VanRooyan,Sacred Heart,D,32,73,1,6,7,0,0,0,0,10,21
Paul Minnehan,Sacred Heart,F,13,25,1,3,4,0,0,0,0,2,6
Michael Rubin,Sacred Heart,D,30,34,1,6,7,0,0,0,0,10,12
Charles Tardif,Sacred Heart,F,35,36,2,9,11,0,0,0,0,14,5
Brendan Dumas,Sacred Heart,F,8,9,0,0,0,0,0,0,0,8,2
Vitaly Levyy,Sacred Heart,F,9,15,0,1,1,0,0,0,0,2,3
Jeremi Tremblay,Sacred Heart,F,22,30,2,4,6,0,0,0,0,21,4
Daniel Ebrahim,Sacred Heart,F,33,85,3,2,5,0,0,0,0,8,14
Rylee Hlusiak,Sacred Heart,F,13,16,1,1,2,0,0,0,0,0,2
Ajeet Gundarah,Sacred Heart,G,26,0,0,1,1,0,0,0,0,0,0
Willyam Gendron,Sacred Heart,F,3,3,0,0,0,0,0,0,0,2,1
Luke Amell,Sacred Heart,D,7,11,1,0,1,0,0,0,0,6,3
Jack O'Dea,Sacred Heart,G,1,0,0,0,0,0,0,0,0,0,0
Aaron Bohlinger,Quinnipiac,D,31,98,3,11,14,2,0,0,1,4,36
Travis Treloar,Quinnipiac,F,36,159,16,19,35,9,4,0,2,2,25
Cooper Moore,Quinnipiac,D,35,140,1,13,14,0,0,1,0,12,59
Jack Ricketts,Quinnipiac,F,36,157,20,7,27,4,5,1,3,45,25
Davis Pennington,Quinnipiac,D,36,161,1,16,17,0,0,0,0,20,61
Jeremy Wilmer,Quinnipiac,F,36,103,14,25,39,5,4,0,1,2,24
Victor Czerneckianair,Quinnipiac,F,36,72,7,9,16,0,0,1,1,21,15
Anthony Cipollone,Quinnipiac,F,36,58,0,3,3,0,0,0,0,9,10
Charlie Leddy,Quinnipiac,D,35,92,1,8,9,0,0,0,0,12,29
Alex Power,Quinnipiac,F,20,27,1,2,3,0,1,0,0,0,7
Nate Benoit,Quinnipiac,D,22,30,0,2,2,0,0,0,0,4,13
Mason Marcellus,Quinnipiac,F,36,133,10,27,37,0,1,1,2,28,30
Andon Cerbone,Quinnipiac,F,36,145,14,20,34,8,2,0,0,16,22
Matej Marinov,Quinnipiac,G,16,0,0,1,1,0,0,0,0,0,0
Elliott Groenewold,Quinnipiac,D,36,126,4,8,12,0,2,0,0,16,49
