PLAYER,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ATTEMPTS,SHOT ON NET,FACEOFF WINS,TOTAL FACEOFF,BLOCKS,PLSMNS,Opponent Score
Gustavs Ozolins,31,1,2,3,0,0,0,0,60,27,0,0,28,-4,115
Rainers Rullers,34,5,8,13,0,0,0,0,70,37,232,487,19,-8,127
Felix Caron,35,6,15,21,3,1,0,1,114,53,4,6,33,-10,131
Jagger Tapper,29,8,12,20,3,2,0,3,62,35,33,64,14,9,105
Lucas Matta,17,0,0,0,0,0,0,0,33,19,1,1,6,-4,63
Jack Watson,8,0,1,1,0,0,0,0,0,0,0,0,0,0,39
Nick Strom,6,0,1,1,0,0,0,0,12,8,0,0,3,0,23
Brody Maguire,13,0,1,1,0,0,0,0,18,6,0,0,8,-3,47
Sutter Muzzatti,10,2,1,3,0,0,0,0,25,14,19,37,7,-7,39
Carson Dorfman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Greg Lapointe,34,11,8,19,2,2,0,0,170,99,2,5,34,-15,117
Tomas Mazura,17,1,13,14,0,1,0,0,62,32,125,266,16,-7,42
Mason Waite,35,4,12,16,2,1,1,0,154,69,0,0,45,-14,121
Philippe Chapleau,35,3,8,11,1,1,0,0,86,29,0,1,30,-17,121
Drake Burgin,35,2,5,7,1,0,0,0,100,39,0,0,36,-22,121
Ty Naaykens,27,5,5,10,2,0,1,0,83,43,32,71,18,-9,103
Will Arquiett,27,4,2,6,0,0,0,0,48,21,25,34,12,-5,97
Oak MacLeod,4,0,0,0,0,0,0,0,7,4,0,0,1,0,10
Reilly Connors,35,2,7,9,0,1,0,0,82,51,274,553,7,-14,121
Felikss Gavars,34,6,9,15,2,0,0,0,172,82,12,30,39,-18,118
Isack Bandu,31,2,5,7,1,1,0,0,54,28,0,0,11,-12,103
Jan Olenginski,29,2,4,6,0,0,0,0,61,31,1,1,9,-3,101
Mason Kucenski,28,0,2,2,0,0,0,0,0,0,0,0,0,0,98
Evan Orloff,19,0,2,2,0,0,0,0,30,11,0,0,13,-1,56
Sam Hall,22,0,2,2,0,0,0,0,29,15,0,0,9,-9,72
Gabe Westling,29,1,8,9,0,0,0,0,58,28,107,249,16,-13,97
Jacob Bernadet,27,1,1,2,1,0,0,0,65,30,1,3,9,-15,96
Spencer Bell,32,3,1,4,1,0,0,0,60,39,5,9,13,-5,110
Isaac Tremblay,33,4,8,12,0,0,0,0,95,52,185,439,14,-20,116
Nicholas Beneteau,32,2,4,6,0,1,0,0,68,42,153,310,13,-16,108
Jake Lammens,23,0,0,0,0,0,0,0,38,21,0,0,12,-17,84
Gunnar Thoreson,33,5,3,8,0,1,0,0,68,40,9,32,15,-11,117
Dominic Basse,10,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Tyler Cristall,29,8,9,17,3,0,0,0,143,74,1,8,39,-8,107
Evan Mitchell,5,0,0,0,0,0,0,0,2,1,0,0,1,-3,24
Cayden Casey,13,1,3,4,0,0,0,0,41,23,43,125,7,6,55
Jan Lasak,16,4,2,6,0,0,0,0,47,23,4,8,14,-7,55
Connor Sullivan,30,2,9,11,1,0,0,0,96,40,0,0,30,-12,121
Dylan Herzog,30,2,9,11,1,1,0,0,77,31,0,0,28,-19,121
William Dineen,30,6,12,18,2,0,0,0,96,59,289,594,11,-1,121
Briggs Gammill,30,3,4,7,1,0,0,0,135,63,9,22,33,-9,121
Kieran O'Hearn,29,1,6,7,0,0,0,0,67,33,0,0,19,-5,115
Kalen Szeto,27,4,1,5,1,0,1,0,57,38,1,10,6,-14,114
Elan Bar-Lev-Wise,24,1,1,2,0,0,1,0,20,12,89,238,2,-15,102
Bayard Hall,27,0,4,4,0,0,0,0,75,31,0,0,21,-8,111
Jack Stark,20,0,0,0,0,0,0,0,0,0,0,0,0,1,79
David Andreychuk,26,1,3,4,0,0,0,0,37,18,14,41,8,-19,110
Will Richter,30,5,6,11,0,0,1,0,73,41,11,22,17,-2,121
Iisai Pesonen,25,1,2,3,0,0,0,0,53,19,4,10,20,-5,100
Seiya Tanaka-Campbell,20,0,0,0,0,0,0,0,9,3,7,15,2,-7,80
Owen Forester,2,0,0,0,0,0,0,0,3,2,0,0,0,-3,11
Rhys Bentham,8,1,3,4,0,0,1,0,24,11,0,0,7,-1,27
Ronan O'Donnell,29,11,9,20,2,3,0,0,102,68,7,13,12,-10,116
Micah Berger,21,5,10,15,3,0,0,0,67,31,11,17,18,-9,92
Zach Wagnon,30,3,11,14,0,1,0,0,86,45,174,344,18,-6,121
Donovan Frias,30,7,5,12,3,0,0,0,92,65,188,463,11,-11,121
Julian Frias,30,2,4,6,1,0,0,0,57,41,3,9,7,-12,121
JoJo Tanaka-Campbell,10,0,0,0,0,0,0,0,4,2,5,13,2,-6,39
Tucker Hartmann,16,1,0,1,0,0,0,0,29,14,0,2,7,1,57
David Chen,18,10,7,17,2,0,0,1,78,48,2,7,12,-4,75
Hughie Hooker,26,1,5,6,0,1,0,0,60,30,0,1,16,-23,104
Joe Blackley,9,0,1,1,0,0,0,0,8,4,1,2,1,-2,34
Luke Pearson,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Noah Pak,8,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Linden Alger,40,3,7,10,0,0,0,0,95,49,0,0,18,5,97
Joey Musa,33,1,2,3,0,0,0,0,52,24,26,61,11,-7,85
Lucas Mercuri,40,10,21,31,2,0,0,0,130,81,383,713,19,14,97
Ryan Lautenbach,40,6,15,21,0,2,0,1,123,71,13,21,17,5,97
Michael Cameron,21,3,4,7,1,0,0,1,43,29,7,29,9,-2,50
Owen Murray,40,5,9,14,0,0,0,1,141,73,0,0,29,5,97
Kenny Connors,40,10,19,29,2,4,0,3,210,101,313,613,53,4,97
Cole O'Hara,40,22,29,51,7,4,1,1,218,116,7,13,42,21,97
Kennedy O'Connor,31,0,6,6,0,0,0,0,44,16,0,0,14,7,70
Lucas Olvestad,38,4,16,20,1,0,0,0,147,61,0,0,51,8,93
Cam O'Neill,26,2,1,3,0,0,0,0,49,32,1,4,3,1,66
Jack Musa,40,18,17,35,3,3,0,0,176,99,55,84,29,18,97
Dans Locmelis,40,8,25,33,3,1,0,0,154,79,371,693,24,16,97
Aydar Suniev,35,20,18,38,5,4,0,1,227,121,0,3,45,12,83
Nick VanTassell,35,2,2,4,0,0,0,0,40,23,3,7,6,-10,86
Bo Cosman,30,0,3,3,0,0,0,0,35,22,11,15,5,4,69
Michael Hrabal,36,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Finn Loftus,30,0,1,1,0,0,0,0,24,13,0,0,5,3,76
Larry Keenan,40,4,7,11,0,0,0,0,147,75,0,0,44,16,97
Francesco Dell'Elce,40,7,17,24,1,2,0,0,214,80,0,0,68,18,97
Cam Dunn,6,0,0,0,0,0,0,0,6,4,1,1,0,0,13
James Duerr,31,2,3,5,0,0,0,0,29,20,50,147,3,1,72
Kaz Sobieski,5,0,0,0,0,0,0,0,3,1,0,0,2,1,14
Daniel JenÄko,28,6,11,17,2,1,0,0,83,52,0,3,15,9,67
Jackson Irving,6,0,1,1,0,0,0,0,0,0,0,0,0,0,16
Pierson Brandon,34,6,2,8,0,2,1,1,96,54,1,2,21,-1,95
Jack Robilotti,35,2,4,6,0,1,0,0,59,23,0,0,16,6,101
Ben Meehan,36,3,14,17,0,1,0,0,133,57,1,2,42,-4,101
Henry Welsch,20,0,1,1,0,0,0,0,0,0,0,0,0,0,57
Isac Jonsson,35,2,10,12,2,0,0,0,150,69,1,1,46,-2,100
Matt Crasa,29,5,9,14,1,1,0,0,105,52,4,12,24,1,81
Owen Cole,36,8,12,20,3,1,0,0,116,73,261,537,13,1,101
Ian Carpentier,27,2,7,9,0,0,0,1,75,45,24,65,21,4,76
Scout Truman,36,10,8,18,2,3,0,1,166,90,1,9,49,-3,101
TJ Schweighardt,36,0,10,10,0,0,0,0,100,40,0,0,29,1,101
Connor Eddy,36,5,5,10,0,1,0,0,90,63,10,17,13,7,101
Dillan Bentley,34,9,7,16,1,1,0,0,130,66,208,414,20,-5,99
Jak Vaarwerk,36,5,11,16,1,1,0,1,104,57,296,601,19,-1,101
Nick Anderson,35,2,12,14,0,0,0,0,66,26,0,1,24,-1,97
Chris Delaney,35,9,9,18,2,0,0,0,102,59,3,6,22,-12,100
Mirko Buttazoni,32,5,14,19,1,0,0,0,122,72,17,35,20,-3,93
Libor Nemec,26,6,6,12,3,2,0,0,74,49,56,131,15,-9,72
Lee Parks,34,8,6,14,4,1,0,0,87,54,2,5,13,6,92
Jacob MacDonald,14,2,2,4,0,0,0,0,23,12,14,31,3,-2,31
Beni Halasz,18,0,0,0,0,0,0,0,0,0,0,0,0,0,53
Jack Collins,16,0,1,1,0,0,0,0,21,13,70,127,0,2,40
Girts Silkalns,10,1,2,3,0,0,0,0,17,8,0,0,4,0,30
Daniel Buchbinder,14,0,1,1,0,0,0,0,8,4,0,1,4,-1,36
Stefan Owens,26,2,0,2,0,1,0,0,44,29,74,177,9,-4,78
Mitchell Becker,16,1,2,3,0,0,0,0,23,10,0,0,10,-5,51
Sean Kilcullen,8,0,0,0,0,0,0,0,6,2,0,1,1,-1,23
Jaiden Moriello,2,0,0,0,0,0,0,0,3,1,0,0,1,-1,7
Dominick Rivelli,3,0,0,0,0,0,0,0,2,1,0,0,0,0,9
Ryan St. Louis,23,11,18,29,0,6,0,1,80,48,3,5,19,0,66
Brett Bliss,31,1,4,5,0,1,0,0,110,51,0,0,33,3,81
Wyatt Schlaht,11,0,0,0,0,0,0,0,9,4,1,2,3,-2,25
Brendan Clark,31,6,6,12,0,1,0,0,80,47,18,35,14,2,80
Tony Andreozzi,32,1,6,7,0,0,0,0,64,37,0,0,12,-3,85
Thomas Manty,7,0,1,1,0,0,0,0,8,4,0,0,2,0,17
Lynden Grandberg,19,1,0,1,0,0,0,0,17,12,22,45,3,3,49
Noah Wakeford,2,0,0,0,0,0,0,0,1,0,1,2,1,0,5
Spence Evans,13,0,0,0,0,0,0,0,10,3,0,0,4,0,33
Nick Traggio,26,1,3,4,0,0,0,0,81,36,0,0,24,3,72
Ryan Shostak,32,3,3,6,0,0,0,1,45,26,159,368,12,-2,85
Dean Bauchiero,17,3,0,3,0,1,0,1,25,11,1,2,6,0,54
Tyler Shea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Lawton Zacher,28,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Alex Pineau,32,7,9,16,2,0,0,0,129,54,0,0,43,-3,85
Tyler Kopff,32,9,19,28,6,1,1,0,203,114,94,194,51,1,85
Mike Cataldo,28,1,2,3,0,0,0,0,32,19,114,193,4,1,76
Ethan Mistry,32,2,10,12,0,0,0,0,98,45,0,0,30,4,85
Max Scott,32,12,14,26,3,1,0,2,137,82,463,861,29,-6,85
Charlie Gollob,27,4,5,9,0,1,0,0,56,34,10,21,12,-2,70
Ivan Zadvernyuk,32,3,7,10,0,0,0,0,103,56,7,17,26,-1,85
Tanner Hartman,23,1,2,3,0,0,0,0,21,16,0,1,3,2,63
Jack Hewitt,11,0,1,1,0,0,0,0,14,8,0,0,5,-2,30
Zackary Tonelli,25,2,0,2,0,0,2,0,49,25,1,5,6,-1,60
Tristan Zarsky,20,0,0,0,0,0,0,0,33,12,0,0,11,-1,49
Andrew King,14,0,1,1,0,0,0,0,16,8,0,0,5,1,38
Brian Nicholas,28,11,14,25,4,2,0,0,134,70,85,203,32,-4,72
Leo Schwartz,20,0,2,2,0,0,0,0,28,10,0,0,7,2,53
Matthew Brille,4,0,0,0,0,0,0,0,3,2,1,1,0,1,13
Danny Weight,34,5,7,12,1,0,0,0,76,49,15,34,14,-8,107
Jordan Biro,36,3,9,12,1,0,0,0,82,56,0,0,15,-7,112
Lauri Sertti,37,1,6,7,1,0,0,0,77,34,0,0,24,1,114
Evan Stella,35,1,6,7,0,0,0,0,95,56,0,1,21,-19,107
Oscar Geschwind,36,5,7,12,0,1,0,1,93,55,15,39,16,-3,114
Brett Bamber,35,6,12,18,0,0,0,0,165,90,1,2,39,-19,105
David Posma,35,2,7,9,0,0,0,0,66,35,0,0,17,-1,108
Blake Dangos,33,1,2,3,0,0,0,0,53,22,0,2,18,-7,103
Josh Barnes,38,14,10,24,3,1,0,0,162,85,229,477,36,-14,117
Brett Rylance,35,3,10,13,1,0,0,0,123,79,262,526,24,-1,101
John Lundy,37,10,10,20,6,0,0,0,138,84,62,97,30,-12,115
Noah Serdachny,37,4,12,16,0,2,0,0,125,71,72,153,27,-10,114
Chase Clark,25,0,1,1,0,0,0,0,0,0,0,0,0,0,75
Alfred LindbergÂ ,33,7,4,11,1,2,0,0,119,77,232,446,27,-17,104
Dario Beljo,30,11,9,20,4,3,0,0,58,32,73,185,16,-2,97
Hunter Longhi,13,2,2,4,1,0,0,0,24,18,0,0,4,-1,38
Tyler ProciousÂ ,31,1,5,6,1,0,0,0,83,41,0,0,26,-8,99
Tobias LarsenÂ ,17,0,2,2,0,0,0,0,28,14,0,0,9,-1,62
Justin MexicoÂ ,32,3,12,15,0,1,0,0,96,58,131,302,21,-3,98
Wilhelm ForsbergÂ ,20,1,5,6,1,0,0,0,34,16,0,0,9,0,57
Joey LoVullo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Timofei Khokhlachev,31,8,10,18,1,2,0,1,76,47,4,9,12,5,90
Alexander Malinowski,25,0,8,8,0,0,0,0,71,45,1,2,12,-8,70
Casey McDonald,27,3,4,7,0,1,0,0,58,39,10,30,11,-2,81
Peyton GrainerÂ ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Adam Manji,7,0,1,1,0,0,0,0,1,1,0,0,0,0,26
Tanner WillickÂ ,7,0,0,0,0,0,0,0,12,5,0,0,3,-2,20
Theo Angesved,12,1,1,2,0,0,0,0,20,8,0,0,7,1,41
Douglas Andersson,8,0,1,1,0,0,0,0,4,2,0,0,2,-3,30
Adam Marshall,38,7,5,12,0,1,0,0,154,93,1,6,29,-3,117
Michael Sacco,38,2,9,11,0,0,0,1,98,60,204,473,16,-7,117
Joey Baez,38,7,9,16,0,1,0,0,163,82,0,0,38,-19,117
Hunter McCoy,30,4,7,11,0,2,0,0,79,40,28,59,15,4,92
Andrew Gilbert,38,0,3,3,0,0,0,0,55,26,0,0,17,-8,117
Sean Vlasich,33,0,5,5,0,0,0,0,73,47,0,0,13,1,93
Mac Gadowsky,38,16,26,42,4,2,0,1,199,99,0,0,61,5,117
Easton Zueger,36,2,3,5,0,0,0,0,85,36,0,1,32,-8,111
Jon Bell,26,0,4,4,0,0,0,0,73,37,0,1,22,-5,78
Pierce Patterson,37,2,7,9,0,1,0,0,111,43,0,0,37,-3,114
Nik Hong,36,11,11,22,3,2,2,0,108,66,318,608,20,-9,112
Vincent Salice,35,6,8,14,0,1,0,0,123,79,1,1,26,0,108
Barron Woodring,38,11,15,26,5,2,1,0,131,77,388,720,27,-9,117
Brent Keefer,36,7,12,19,2,1,0,1,120,66,56,123,28,-5,107
Ben Ivey,37,8,13,21,0,0,0,0,108,65,131,308,19,5,113
Jack Ivey,38,10,15,25,4,2,0,1,197,104,16,35,46,4,117
Nils Forselius,35,7,15,22,3,1,0,0,125,60,5,11,27,5,110
Dylan Wegner,33,2,4,6,0,0,0,0,73,46,1,4,13,-8,95
Sam Groebner,38,2,7,9,0,0,0,0,52,25,0,0,17,4,117
JJ Cataldo,31,0,1,1,0,0,0,0,0,0,0,0,0,0,91
Jacob Biron,2,0,1,1,0,0,0,0,0,0,0,0,0,0,7
Josh Bohlin,3,0,0,0,0,0,0,0,5,4,0,0,1,-2,7
Trevor Smith,7,0,0,0,0,0,0,0,15,6,0,1,6,-5,23
Jude Brower,6,1,0,1,0,0,0,0,12,5,0,0,4,-5,19
Evan Szary,10,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Stephen Willey,6,0,2,2,0,0,0,0,10,5,0,0,3,0,31
Noah Alvarez,3,0,0,0,0,0,0,0,4,2,0,0,0,-2,8
Lucas Kanta,5,0,0,0,0,0,0,0,5,4,1,1,0,-3,18
Joey Dosan,1,0,0,0,0,0,0,0,4,3,0,4,0,0,4
Andrew Garby,2,0,0,0,0,0,0,0,2,0,0,0,2,0,6
Owen Nolan,8,0,0,0,0,0,0,0,16,6,0,0,7,-2,30
Ethan Leyh,37,17,25,42,7,1,0,5,231,137,436,772,53,11,76
A.J. Hodges,30,9,9,18,3,2,0,1,144,78,19,41,32,7,57
Nick Bochen,40,9,20,29,1,1,0,1,223,110,0,0,60,15,83
Nik Armstrong-Kingkade,38,12,15,27,2,2,2,3,145,90,0,0,21,7,81
Artem Buzoverya,32,6,8,14,1,0,0,0,48,29,206,359,7,5,72
Tucker Hodgson,39,3,4,7,0,0,0,0,58,29,0,0,19,5,78
Tanner Main,35,2,7,9,0,1,0,1,90,38,0,0,20,11,76
Stephen Castagna,40,5,21,26,3,1,0,1,152,96,30,81,18,7,83
Arlo Merritt,35,8,6,14,0,3,0,1,96,59,209,374,19,10,73
Connor Hasley,36,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Ryan Upson,33,1,12,13,0,1,0,0,58,32,5,10,12,14,65
Ryan Nause,18,0,0,0,0,0,0,0,26,9,0,0,7,-2,36
Kellan Hjartarson,40,8,8,16,4,3,0,0,108,64,61,117,16,0,83
Chase Davis,25,3,4,7,0,0,0,0,60,34,102,189,10,0,60
Garrett Horsager,37,0,9,9,0,0,0,0,98,46,0,0,35,12,77
Colton Cameron,37,0,5,5,0,0,0,0,41,16,0,1,18,9,74
Ryan Mansfield,31,8,10,18,1,3,0,0,100,65,108,222,16,7,67
Oliver Salo,29,2,4,6,0,0,0,0,80,37,1,1,20,3,50
Oskar Bakkevig,28,10,6,16,1,0,0,2,120,59,83,159,34,3,58
Samuel Duerr,37,8,7,15,1,4,0,0,182,80,0,0,57,8,78
Jimmy DoyleÂ ,32,0,8,8,0,0,0,0,86,51,30,65,9,3,63
David Helledy,24,0,2,2,0,0,0,0,33,13,0,0,9,-3,43
Jake Black,22,4,3,7,0,1,0,0,75,43,8,18,21,-1,41
Peter Kramer,20,0,4,4,0,0,0,0,47,25,0,0,7,2,46
Pat Lawn,6,0,0,0,0,0,0,0,3,2,0,0,1,2,12
Max Beckford,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Kolby Amici,5,0,0,0,0,0,0,0,6,2,0,0,0,-3,17
Nicholas Bevilacqua,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Seth Bernard-Docker,6,0,0,0,0,0,0,0,11,5,0,0,3,-2,18
Jackson Decker,34,1,12,13,0,0,0,0,105,46,1,1,37,-7,112
Alec Cicero,34,8,9,17,3,1,0,1,79,41,13,40,24,-7,113
Mikey Colella,37,4,8,12,0,1,0,0,76,41,8,29,19,-10,120
Kyle Haskins,37,11,12,23,3,2,0,1,169,89,220,521,44,-12,120
Cole Kodsi,31,4,8,12,0,1,0,0,104,70,19,57,18,-6,104
Luke Farthing,14,1,4,5,0,0,0,0,43,21,0,0,14,-8,54
Cody Schiavon,34,2,0,2,0,0,0,0,75,33,0,0,23,-5,110
Alton McDermott,33,7,8,15,1,3,0,0,78,43,2,4,14,5,104
Matt Vermaeten,34,4,4,8,0,1,0,0,81,46,44,118,12,-5,109
Oliver Tarr,30,8,7,15,2,0,0,0,110,71,0,5,15,-6,92
Stefano Bottini,33,3,1,4,0,0,1,0,53,35,2,8,12,-4,108
Kash Rasmussen,14,2,6,8,2,0,0,0,37,20,59,127,7,5,41
Grant Porter,33,10,5,15,5,0,0,1,120,65,129,273,26,-7,106
Matteo Giampa,37,8,22,30,1,1,0,1,150,82,3,15,38,-10,120
Trey Funk,37,8,9,17,4,0,0,0,86,70,267,622,8,-19,120
Ethan Robertson,20,0,1,1,0,0,0,0,0,0,0,0,0,0,63
Jack Budd,28,1,10,11,0,0,0,1,84,50,0,0,19,-8,94
Dominic Payne,37,6,8,14,1,1,1,0,131,71,0,0,34,2,120
Ben Bonisteel,11,0,0,0,0,0,0,0,0,0,0,0,0,-1,39
Carter Patterson,28,1,4,5,0,0,1,1,59,28,0,0,22,-1,81
Hunter Price,16,0,0,0,0,0,0,0,29,15,31,78,4,-4,52
Cooper Haar,9,0,2,2,0,0,0,0,11,8,1,2,1,0,32
Keegan Langefels,4,0,0,0,0,0,0,0,5,3,0,0,1,0,15
Hunter Andrew,16,2,1,3,0,1,0,0,35,25,0,2,4,2,55
Christian MacDougall,1,0,0,0,0,0,0,0,2,1,0,0,0,1,8
Luke Marshall,23,1,1,2,0,0,0,0,47,25,0,0,10,0,74
Jackson Nieuwendyk,22,1,2,3,0,0,1,0,33,21,68,151,4,-5,73
Robert Kincaid,23,2,4,6,1,0,1,0,75,38,0,0,20,-6,68
Killian Kiecker-Olson,22,3,2,5,1,0,0,0,40,21,132,233,11,1,69
Petter WickstrÃ¶m Stumer,15,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Ryan Gillespie,1,0,0,0,0,0,0,0,2,2,0,0,0,0,3
Ryan Buckley,13,0,1,1,0,0,0,0,8,6,0,0,1,3,31
John Gelatt,37,7,10,17,2,1,0,0,133,71,94,218,34,10,83
Matt Shatsky,28,1,8,9,0,0,0,0,74,29,0,0,26,-5,74
Liam McLinskey,40,24,30,54,10,2,1,4,278,140,13,31,70,5,94
Timothy Heinke,38,12,7,19,3,1,0,1,174,103,1,9,35,1,89
Lachlan Getz,38,0,8,8,0,0,0,0,85,34,0,0,27,5,92
Louden Hogg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Matt DeBoer,40,11,20,31,4,2,0,0,187,108,4,17,37,3,94
Devin Phillips,34,11,20,31,4,2,0,0,131,78,6,23,26,-1,79
Jack Seymour,34,7,12,19,2,1,0,0,126,67,8,18,30,7,83
Michael Abgrall,40,8,17,25,0,5,0,1,120,68,251,568,37,2,94
Brody Gagno,38,1,7,8,0,0,1,0,55,16,0,0,20,15,88
Will Elias,32,5,7,12,1,1,1,1,81,38,0,0,23,4,72
Jack Stockfish,36,15,12,27,3,4,0,0,148,75,393,693,41,0,88
Connor Welsh,30,0,3,3,0,0,0,0,40,22,3,3,8,-2,69
Jarrod Smith,13,0,1,1,0,0,0,0,16,9,22,45,5,1,30
Edward Moskowitz,7,0,1,1,0,0,0,0,8,7,1,1,0,0,18
Ben LeFranc,21,1,0,1,0,0,0,0,26,13,0,0,8,-3,56
William Troutwine,29,2,2,4,0,1,0,1,57,24,0,0,22,3,60
Matthew Kursonis,27,10,15,25,6,3,0,0,130,75,199,351,23,1,59
Nic Petruolo,26,1,7,8,0,0,0,1,58,26,0,0,23,13,59
Thomas Gale,39,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Mack Oliphant,36,3,26,29,0,0,1,0,176,78,0,0,56,3,83
Joe Solimine,32,1,5,6,0,0,0,0,61,40,115,238,8,-1,78
Ty Gagno,33,4,9,13,0,0,1,1,101,53,176,352,21,1,74
Owen Kim,26,3,4,7,1,1,0,0,83,45,19,31,16,-3,66
Michael Hodge,23,3,1,4,0,0,0,0,42,25,3,11,7,3,49
Steven Agriogianis,34,8,12,20,5,1,0,0,89,55,296,629,20,-22,145
Mickey Burns,32,10,11,21,2,0,0,0,131,74,32,64,26,-5,139
Jake Beaune,26,1,2,3,0,0,0,0,72,42,0,0,15,-15,114
Dustin Geregach,35,7,14,21,1,0,1,0,165,80,0,0,41,-15,150
Ryan Coughlin,35,5,10,15,0,1,1,0,61,46,112,312,6,-15,150
Tyler Nasca,31,1,3,4,0,0,0,0,54,24,0,0,16,-10,128
Barrett Brooks,25,2,7,9,0,0,0,0,57,36,26,76,13,-16,106
Trent Sambrook,35,0,11,11,0,0,0,0,92,43,0,0,36,-21,150
Tyler DesRochers,26,5,3,8,1,0,0,1,40,16,0,1,11,-10,100
Sean James,34,3,8,11,0,0,0,1,105,57,0,0,20,-9,137
Boris Skalos,34,5,9,14,1,2,0,0,158,96,17,38,39,-19,145
Cameron Ricotta,2,0,0,0,0,0,0,0,2,1,0,1,0,-4,9
Spencer Smith,32,1,3,4,0,0,0,0,38,19,138,313,8,-13,139
Connor Pelc,28,2,5,7,0,0,0,0,64,44,106,232,12,-15,119
Brendan Lamb,33,2,8,10,1,0,0,0,69,41,187,440,13,-18,142
Riley Fitzgerald,32,7,7,14,2,0,0,0,78,48,41,103,9,-17,139
Kaden Muir,21,0,1,1,0,0,0,0,22,8,0,0,6,-15,97
Christian Kocsis,25,0,2,2,0,0,0,0,24,15,2,6,3,-21,111
Caleb Price,24,0,7,7,0,0,0,0,54,30,0,0,15,-19,105
Carter McPhail,22,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Will Margel,24,6,6,12,2,0,0,0,78,49,1,4,14,-17,112
Jaryd Sych,30,2,0,2,0,0,0,0,66,27,0,0,21,-15,129
Simon Bucheler,11,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Dominik Bartecko,31,6,6,12,3,0,0,0,77,50,0,1,13,-12,136
Davis Fry,11,1,0,1,0,0,0,0,8,4,33,87,1,-3,44
Michael Chambre,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Matteo Disipio,16,3,3,6,0,0,0,0,38,20,0,0,10,-4,75
Kyler Head,6,0,0,0,0,0,0,0,13,10,1,1,1,-3,24
John Jaworski,39,13,18,31,1,3,1,1,140,80,248,558,24,8,101
Tyler Ghirardosi,32,8,11,19,2,1,0,2,89,50,1,3,18,4,82
Max Dorrington,38,12,10,22,3,3,0,0,96,67,337,619,12,4,98
Gabe Blanchard,38,0,6,6,0,0,0,0,113,47,1,2,35,-2,100
Hunter Sansbury,39,6,15,21,3,1,0,0,159,82,1,2,39,12,101
Marcus Joughin,39,3,18,21,0,0,0,0,103,58,233,459,26,-2,101
Garrett Sundquist,20,1,3,4,0,0,0,0,28,14,0,0,7,8,57
Matt Guerra,39,7,12,19,0,0,0,2,122,73,131,279,29,8,101
FÃ©lix Trudeau,39,15,23,38,7,3,0,1,231,130,37,85,53,1,101
Reid Pabich,39,13,15,28,0,3,0,2,120,78,1,5,13,13,101
Mikey Adamson,37,12,15,27,4,4,0,0,178,61,0,0,66,11,97
John Driscoll,39,2,8,10,1,0,0,0,119,49,0,0,44,2,101
Jake Hewitt,32,5,8,13,0,2,0,0,60,37,2,7,10,5,84
Jake Bongo,22,3,4,7,0,1,0,0,45,24,21,45,10,4,64
Cole Galata,37,6,7,13,0,0,0,1,49,32,5,15,10,4,92
Cullen DeYoung,15,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Aiden VanRooyan,32,1,6,7,0,0,0,0,73,39,0,1,21,8,81
Paul Minnehan,13,1,3,4,0,0,0,0,25,13,1,2,6,0,34
Michael Rubin,30,1,6,7,0,0,0,0,34,17,0,0,12,9,77
Charles Tardif,35,2,9,11,0,0,0,0,36,24,172,312,5,5,88
Brendan Dumas,8,0,0,0,0,0,0,0,9,6,1,1,2,-2,21
Vitaly Levyy,9,0,1,1,0,0,0,0,15,9,1,6,3,0,31
Jeremi Tremblay,22,2,4,6,0,0,0,0,30,21,1,1,4,8,56
Daniel Ebrahim,33,3,2,5,0,0,0,0,85,49,1,4,14,-1,80
Rylee Hlusiak,13,1,1,2,0,0,0,0,16,10,1,3,2,-1,26
Ajeet Gundarah,26,0,1,1,0,0,0,0,0,0,0,0,0,0,61
Willyam Gendron,3,0,0,0,0,0,0,0,3,2,0,0,1,0,6
Luke Amell,7,1,0,1,0,0,0,0,11,8,0,0,3,0,20
Jack O'Dea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Aaron Bohlinger,32,3,11,14,2,0,0,1,100,34,0,0,37,11,75
Travis Treloar,38,16,20,36,9,4,0,2,168,100,262,469,26,3,83
Cooper Moore,37,1,13,14,0,0,1,0,144,57,0,0,59,10,83
