PLAYER,GP,G,A,PTS,PPG,GWG,SHG,ENG,SHOT ATTEMPTS,SHOT ON NET,FACEOFF WINS,TOTAL FACEOFF,BLOCKS,PLSMNS,Opponent Score
Ben Raymond,36,9,9,18,0,2,2,0,107,60,3,8,17,-2,116
Alex DiPaolo,32,11,15,26,5,1,0,1,128,73,123,215,32,-9,104
Brett Chorske,36,15,19,34,2,2,0,0,126,85,318,593,19,-4,116
Andrew Takacs,32,0,1,1,0,0,0,0,1,1,0,0,0,0,101
Owen Neuharth,29,3,6,9,0,1,0,1,34,18,35,99,11,3,88
Robby Newton,25,3,6,9,0,0,1,0,36,29,56,155,5,7,80
Niko Rexine,33,5,10,15,0,2,0,1,55,39,160,371,8,6,107
Jake Schneider,36,4,9,13,0,1,1,0,108,71,16,50,18,10,116
Antonio Fernandez,31,5,9,14,0,0,0,0,96,37,0,0,31,-5,111
Jacob Napier,26,2,2,4,0,0,0,0,43,22,0,0,13,-3,76
Ryan Sullivan,57,11,14,25,4,1,0,0,150,85,333,676,33,-10,225
Michael Neumeier,35,8,12,20,1,2,0,0,141,67,0,0,32,10,112
Simone DadiÃ¨,30,5,2,7,0,1,0,0,46,30,2,5,9,-2,91
Max Nagel,36,6,18,24,1,0,0,1,130,78,2,4,22,-4,116
Jack Brandt,30,2,5,7,0,1,0,0,37,27,7,13,6,-4,97
Ryan Spinale,34,4,2,6,2,0,0,0,52,31,5,17,8,-14,110
Brett Merner,35,3,6,9,0,0,0,0,51,25,0,2,14,8,112
Daniel Panetta,25,10,3,13,2,3,0,1,129,71,143,297,27,10,83
Bobby Metz,9,0,1,1,0,0,0,0,9,5,0,1,4,1,24
Dominic Foglia,15,0,1,1,0,0,0,0,20,9,0,0,7,5,42
Simon Labelle,25,1,11,12,0,0,0,0,76,45,0,0,13,1,92
Nick Haas,7,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Hank Kempf,36,2,5,7,0,0,0,0,76,31,0,0,24,4,82
Sullivan Mack,32,9,15,24,2,2,0,2,120,67,6,14,24,13,73
Ondrej Psenicka,30,9,13,22,3,1,0,0,91,56,15,28,18,9,68
Ian Shane,34,0,1,1,0,0,0,0,0,0,0,0,0,0,80
Tim Rego,36,8,16,24,1,2,0,0,127,53,1,2,29,15,82
Kyle Penney,25,6,1,7,0,0,1,1,80,45,20,45,16,8,51
Kyler Kovich,36,5,9,14,0,1,1,0,76,45,119,229,12,13,82
Jack O'Leary,34,8,9,17,0,3,0,0,75,44,7,14,20,5,80
Michael Suda,36,0,11,11,0,0,0,0,104,38,0,0,39,12,82
Dalton Bancroft,36,15,12,27,3,4,2,0,224,102,7,16,61,11,82
Nick DeSantis,33,8,6,14,1,1,0,1,82,45,5,7,15,11,79
Jack O'Brien,29,0,3,3,0,0,0,0,26,15,0,0,4,4,69
Hoyt Stanley,35,2,11,13,0,0,0,0,82,33,0,0,26,14,80
Jake Kraft,36,7,6,13,0,1,0,0,89,56,3,12,18,5,82
Tyler Catalano,36,2,4,6,0,1,0,0,38,26,107,213,6,0,82
Ben Robertson,36,2,13,15,1,0,0,0,115,54,0,0,29,11,82
Jonathan Castagna,32,5,10,15,1,0,0,1,112,61,290,494,18,2,75
Ryan Walsh,36,17,14,31,3,2,0,2,155,96,419,749,27,14,82
Charlie Major,28,5,13,18,1,1,0,0,110,60,104,204,24,7,60
Nicholas Wolfenberg,13,1,1,2,0,0,0,0,11,8,0,0,0,2,32
Jimmy Rayhill,6,0,1,1,0,0,0,0,3,3,0,1,0,0,10
George Fegaras,30,1,13,14,0,0,0,0,116,50,0,0,39,1,69
Sean Donaldson,16,0,0,0,0,0,0,0,30,15,0,1,4,-7,34
John Fusco,32,11,10,21,2,6,0,1,196,85,0,0,64,15,83
Sean Chisholm,33,15,12,27,4,3,0,1,133,82,300,584,22,4,84
Braiden Dorfman,31,7,9,16,1,0,0,0,89,48,7,10,26,9,80
Trym Lokkeberg,22,0,3,3,0,0,0,0,4,3,63,124,1,2,55
Ian Pierce,24,1,8,9,0,0,0,0,76,25,0,0,31,7,65
Steven Townley,33,4,4,8,0,1,0,0,46,28,272,520,9,11,84
Cam MacDonald,33,6,10,16,0,1,1,1,65,40,1,4,10,1,84
Cooper Flinton,32,11,13,24,4,1,2,2,97,55,2,13,19,5,82
Luke Haymes,22,12,6,18,1,2,0,0,90,60,243,385,21,-1,56
Alex Krause,31,4,8,12,0,0,0,0,48,37,3,5,3,13,77
Emmett Croteau,18,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Eric Charpentier,33,3,8,11,0,0,0,1,112,37,0,0,42,14,84
CJ Foley,33,11,19,30,1,1,1,2,146,65,0,0,55,16,84
Matt Fusco,32,1,6,7,1,0,0,0,81,39,0,0,29,-3,81
Nikita Nikora,33,4,26,30,1,0,0,0,97,50,7,14,23,-8,84
Colin Grable,19,0,1,1,0,0,0,0,23,10,0,0,9,1,51
Hayden Stavroff,31,10,12,22,2,3,0,0,121,66,1,3,26,3,77
Tim Busconi,21,0,0,0,0,0,0,0,24,9,0,0,9,1,54
Hank Cleaves,32,5,16,21,0,0,0,0,78,43,75,153,22,5,82
Jack Silverberg,29,0,5,5,0,0,0,0,28,12,1,3,7,9,70
Tucker McRae,26,0,1,1,0,0,0,0,30,16,0,0,8,-10,65
Joshua Schenk,19,0,2,2,0,0,0,0,25,16,10,34,3,-2,54
Roan Clarke,17,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Nate Morgan,17,4,0,4,1,0,0,1,10,8,0,2,1,4,41
Oskari Vuorio,4,1,0,1,0,0,0,0,4,3,0,0,0,2,10
Ian Moore,32,3,11,14,1,0,0,0,165,77,0,0,35,-5,95
Jack Bar,25,0,3,3,0,0,0,0,54,20,0,0,14,0,76
Kyle Aucoin,28,2,2,4,0,0,0,1,81,40,0,0,19,-3,81
Zakary Karpa,31,1,6,7,0,0,0,0,59,32,257,490,8,-6,92
Mason Langenbrunner,33,6,4,10,3,1,0,0,104,52,0,0,30,3,97
Philip Tresca,31,4,8,12,0,1,0,0,83,45,104,232,16,1,91
Ryan Healey,33,4,9,13,2,0,0,0,150,65,0,0,44,-4,97
Joe Miller,28,5,18,23,0,1,0,0,92,50,11,16,12,5,81
Marek Hejduk,25,4,1,5,1,1,0,0,44,27,5,11,7,-10,68
Casey Severo,33,16,12,28,8,4,0,1,99,63,337,675,14,10,97
Aku Koskenvuo,21,0,0,0,0,0,0,0,1,1,0,0,0,0,67
Ryan Fine,24,1,4,5,0,0,0,0,54,30,5,12,7,-9,73
Matthew Morden,31,1,5,6,0,0,0,0,73,29,0,0,24,-1,91
Michael Callow,30,3,5,8,0,0,0,0,88,48,0,7,13,2,92
Ben  MacDonald,27,5,11,16,2,1,0,0,102,60,66,157,19,5,82
CamÂ Cameron Johnson,31,5,4,9,0,1,0,0,85,43,51,95,20,-13,93
Will Hughes,31,1,1,2,0,0,0,0,50,24,138,308,8,-7,92
Justin Solovey,33,5,7,12,0,0,0,2,120,59,2,8,22,4,97
Lucas St. Louis,33,2,9,11,1,1,0,0,100,35,0,0,39,-6,97
Mick Thompson,33,14,18,32,3,2,2,2,120,80,0,2,18,-5,97
Alex Gaffney,4,0,0,0,0,0,0,0,7,3,0,1,1,0,10
Ben Charette,16,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Tommy Lyons,13,0,2,2,0,0,0,0,10,7,16,33,2,0,38
Evan Zhang,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Christian Jimenez,4,0,0,0,0,0,0,0,5,1,0,0,3,-1,9
Salvatore Guzzo,21,3,0,3,0,0,0,0,39,21,0,0,5,-3,59
Sean Keohane,11,0,2,2,0,0,0,0,33,7,0,0,15,-3,33
Luke Khozozian,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Ross Mitton,32,4,7,11,1,1,0,0,99,51,3,8,21,10,60
Taylor Makar,38,18,12,30,2,6,2,2,159,100,13,29,25,24,75
Harrison Scott,38,18,17,35,6,2,1,2,228,133,421,743,49,13,75
David Breazeale,38,3,10,13,0,2,0,0,161,69,0,1,47,15,75
Nolan Renwick,38,9,15,24,2,1,0,1,118,68,392,696,23,25,75
Nicholas Niemo,23,3,2,5,0,0,0,0,37,24,0,2,6,0,52
Owen Fowler,38,10,10,20,1,1,2,1,153,87,44,115,38,5,75
Luke Antonacci,30,2,2,4,0,0,0,0,52,23,0,0,16,10,63
Brandon Holt,34,4,16,20,1,0,0,0,171,75,0,0,46,9,69
Brandon Chabrier,37,0,10,10,0,0,0,0,147,59,1,1,40,10,74
Grayson Arnott,20,2,0,2,0,1,0,0,43,24,0,0,13,4,36
Thomas Freel,38,11,7,18,8,2,0,0,135,87,8,19,16,9,75
Charlie Russell,35,7,19,26,1,2,0,0,129,66,18,37,38,11,70
Sully Scholle,38,3,13,16,1,1,0,0,132,63,0,4,38,-5,75
Anthony Calafiore,21,1,0,1,0,0,0,0,33,20,4,13,8,1,33
Bodie Nobes,21,1,4,5,0,0,0,0,71,29,0,0,19,9,45
Josh Nadeau,37,10,19,29,3,3,1,0,247,114,8,14,77,12,74
Albin Boija,37,0,1,1,0,0,0,0,2,1,0,0,1,0,73
Frank Djurasevic,38,7,21,28,2,1,1,1,164,77,0,0,53,18,75
Oskar Komarov,37,2,5,7,0,0,0,0,87,48,99,218,19,3,73
Liam Lesakowski,24,0,0,0,0,0,0,0,36,18,0,0,8,2,41
Jack Dalton,21,0,5,5,0,0,0,0,43,14,0,0,15,-3,37
Lynden Breen,22,7,6,13,1,0,0,0,94,52,141,270,19,5,45
Thomas Pichette,19,2,3,5,0,1,0,0,30,18,14,30,7,1,45
Aidan Carney,5,0,0,0,0,0,0,0,1,0,0,0,0,0,8
Patriks Berzins,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Colby Enns,29,0,4,4,0,0,0,0,53,28,0,0,19,-7,98
Harrison Roy,35,2,7,9,0,0,0,0,108,80,193,381,10,-13,112
Josef Mysak,34,2,8,10,0,0,0,0,87,44,1,1,28,5,109
Antonio Venuto,35,8,6,14,4,1,0,1,98,68,17,47,16,-12,112
Michael Citara,7,1,0,1,0,0,0,0,22,10,0,0,6,-1,25
Ivan Zivlak,32,3,6,9,0,1,0,0,71,27,0,0,27,-1,96
Seamus Powell,35,5,16,21,2,0,0,1,144,68,0,0,48,-8,112
Zach Bookman,33,3,14,17,1,0,0,0,121,50,0,0,43,-5,106
Trevor Griebel,24,1,4,5,1,0,0,0,34,15,0,0,9,-9,86
Tyler Young,29,6,4,10,0,1,0,0,94,55,1,6,14,-4,89
Cam KungleÂ ,32,0,1,1,0,0,0,0,50,18,0,0,14,-4,100
Ethan Bono,33,5,4,9,0,1,0,1,51,41,153,354,2,0,103
David Sacco,26,9,0,9,1,3,0,0,64,33,66,130,14,-3,86
Luke Weilandt,35,1,5,6,0,0,1,0,71,45,181,378,9,-8,112
Ty Daneault,35,6,9,15,3,1,0,0,116,61,3,8,24,-7,112
